Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2008,21,SFG,NL,41,154,145,24,50,10,1,3,24,0,0,4,14,.345,.357,.490,.847,118,71,6,1,0,4,1,352/H,,2008,21,SFG,NL,41,154,5,-1,0,3,0,6,0.6,5,11,1.0,.515,.504,0.8,0.3,8,,352/H,
2009,22,SFG,NL,153,633,572,79,189,44,5,25,90,5,5,52,83,.330,.387,.556,.943,144,318,10,4,0,5,13,*53/H2D,MVP-7,2009,22,SFG,NL,153,633,36,-1,1,-12,1,25,2.4,20,44,4.3,.516,.515,5.6,-1.2,56,"$401,750",*53/H2D,MVP-7
2010,23,SFG,NL,152,616,563,61,151,34,3,13,63,3,2,47,81,.268,.323,.409,.732,99,230,26,1,0,5,12,*53/H,,2010,23,SFG,NL,152,616,0,-1,-3,0,2,-2,-0.3,19,17,1.5,.499,.499,1.6,0.2,17,"$465,000",*53/H,
2011,24,SFG,NL,117,466,426,55,134,26,3,23,70,2,4,32,63,.315,.357,.552,.909,155,235,12,0,1,7,9,5/H3D,"AS,MVP-17",2011,24,SFG,NL,117,466,27,0,0,14,2,42,4.6,15,57,6.0,.539,.528,4.4,1.7,43,"$500,000",5/H3D,"AS,MVP-17"
2012,25,SFG,NL,108,442,396,59,112,25,2,12,63,1,1,38,59,.283,.342,.447,.789,123,177,13,1,0,7,4,5/3HD,AS,2012,25,SFG,NL,108,442,11,0,-1,-4,2,7,0.8,14,21,2.2,.507,.505,2.5,-0.2,25,"$3,200,000",5/3HD,AS
2013,26,SFG,NL,141,584,525,52,146,27,2,14,79,0,0,47,79,.278,.341,.417,.758,116,219,19,6,0,6,5,*5/HD,,2013,26,SFG,NL,141,584,10,0,-2,-8,3,3,0.2,19,22,2.1,.502,.502,3.0,-0.7,30,"$5,700,000",*5/HD,
2014,27,SFG,NL,157,638,588,68,164,26,3,16,73,0,0,39,85,.279,.324,.415,.739,111,244,16,4,0,7,6,*5/DH,,2014,27,SFG,NL,157,638,10,-2,-1,2,3,13,1.2,21,33,3.2,.509,.509,3.1,0.4,31,"$8,250,000",*5/DH,
2015,28,BOS,AL,126,505,470,43,115,25,1,10,47,0,0,25,73,.245,.292,.366,.658,75,172,14,7,1,2,1,*5/H,,2015,28,BOS,AL,126,505,-15,-1,-1,-8,3,-23,-2.3,18,-5,-0.5,.481,.485,0.3,-0.5,3,"$17,600,000",*5/H,
2016,29,BOS,AL,3,7,6,0,0,0,0,0,0,0,0,1,4,.000,.143,.000,.143,-57,0,0,0,0,0,0,/5H,,2016,29,BOS,AL,3,7,-1,0,0,-1,0,-2,-0.3,0,-2,-0.2,.418,.498,-0.1,-0.1,-1,"$17,600,000",/5H,
2017,30,TOT,MLB,79,279,259,27,57,11,0,9,32,0,1,16,53,.220,.265,.367,.632,64,95,11,1,0,3,0,5/3HD4,,2017,30,BOS,AL,32,108,-6,-1,-1,-6,0,-13,-1.2,4,-9,-0.9,.461,.492,-0.3,-0.5,-3,"$17,600,000",5/HD4,
2018,31,SFG,NL,92,252,230,22,57,10,1,9,40,0,0,19,52,.248,.310,.417,.727,101,96,9,2,0,1,2,5H3/D41,,2017,30,SFG,NL,47,171,-8,0,-1,-1,0,-10,-1.1,6,-5,-0.5,.478,.494,-0.4,-0.1,-4,,5/3H,
2019,32,SFG,NL,108,296,272,42,73,23,0,14,41,1,0,18,67,.268,.313,.507,.820,113,138,8,1,2,3,2,H53/D1,,2018,31,SFG,NL,92,252,1,0,-2,-3,-1,-5,-0.6,8,3,0.2,.494,.497,0.5,-0.5,6,"$545,000",5H3/D41,
2020,33,TOT,NL,34,94,84,5,18,1,0,1,6,0,0,8,19,.214,.287,.262,.549,54,22,3,1,0,1,0,DH/35,,2019,32,SFG,NL,108,296,6,0,1,-1,-1,5,0.4,10,15,1.3,.505,.503,1.5,-0.3,16,"$555,000",H53/D1,
2021,34,ATL,NL,69,86,73,11,13,0,0,4,11,0,0,11,25,.178,.302,.342,.645,71,25,2,2,0,0,0,H/D35,,2020,33,SFG,NL,33,90,-5,0,0,-1,-2,-8,-0.8,3,-5,-0.5,.475,.495,-0.4,-0.2,-4,"$100,000",DH/35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,33,ATL,NL,1,4,0,0,0,0,0,0,0.0,0,0,0.0,.512,.500,0.0,0.0,0,,/5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,34,ATL,NL,69,86,-3,-1,0,0,-1,-5,-0.5,3,-2,-0.2,.493,.497,-0.2,-0.1,-2,"$1,000,000",H/D35,
