Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1999,23,OAK,AL,40,158,136,13,38,7,0,3,21,1,0,18,11,.279,.363,.397,.760,100,54,5,1,1,2,0,2,,1999,23,OAK,AL,40,158,0,-1,0,-1,2,1,0.1,6,7,0.7,.503,.501,0.8,0.1,8,"$200,000",2,
2000,24,OAK,AL,143,479,419,52,101,19,0,14,62,1,0,38,64,.241,.311,.387,.698,79,162,14,7,10,5,1,*2H,,2000,24,OAK,AL,143,479,-16,0,-1,-2,7,-11,-1.0,18,7,0.7,.493,.493,0.9,0.6,9,"$211,000",*2H,
2001,25,OAK,AL,136,509,453,55,115,25,0,15,60,1,1,37,68,.254,.316,.408,.724,91,185,10,6,9,4,3,*2/H3,,2001,25,OAK,AL,136,509,-6,-4,0,6,8,4,0.4,19,23,2.3,.503,.502,1.7,1.4,17,"$245,000",*2/H3,
2002,26,OAK,AL,136,457,403,51,94,20,0,7,42,0,0,43,64,.233,.313,.335,.648,75,135,11,5,3,3,1,*2/H,,2002,26,OAK,AL,136,457,-14,-2,0,9,8,1,0.1,17,18,1.7,.501,.501,0.8,1.7,9,"$497,500",*2/H,
2003,27,OAK,AL,140,536,483,70,132,24,1,21,78,0,0,33,79,.273,.331,.458,.789,107,221,14,12,2,6,2,*2/H,AS,2003,27,OAK,AL,140,536,7,-1,-2,2,9,15,1.5,20,35,3.4,.511,.509,3.2,1.1,33,"$1,887,500",*2/H,AS
2004,28,SDP,NL,111,432,384,45,106,23,0,18,63,1,0,35,45,.276,.341,.477,.818,118,183,16,5,4,4,0,2/H,,2004,28,SDP,NL,111,432,13,-1,-1,0,7,18,1.7,13,32,3.0,.516,.511,3.1,0.7,32,"$2,937,500",2/H,
2005,29,SDP,NL,99,392,369,36,107,19,2,12,58,1,0,18,40,.290,.322,.450,.772,108,166,14,1,1,3,0,2/H,,2005,29,SDP,NL,99,392,5,-3,-1,7,6,14,1.4,12,26,2.6,.515,.509,1.9,1.3,19,"$4,312,500",2/H,
2006,30,BAL,AL,144,560,501,66,138,29,2,23,91,1,0,43,79,.275,.343,.479,.822,111,240,13,11,0,5,2,*2/HD3,,2006,30,BAL,AL,144,560,11,-1,-1,5,8,22,2.2,21,43,4.2,.515,.513,3.7,1.3,38,"$4,000,000",*2/HD3,
2007,31,BAL,AL,106,409,364,40,94,18,0,9,62,1,3,36,59,.258,.333,.382,.714,88,139,9,6,0,3,1,2/H3,,2007,31,BAL,AL,106,409,-7,-3,1,2,6,0,0.1,15,16,1.5,.500,.500,1.3,0.9,13,"$6,500,000",2/H3,
2008,32,BAL,AL,133,507,463,49,119,22,1,15,65,0,0,32,62,.257,.308,.406,.714,87,188,9,5,1,6,3,*2H/3D,,2008,32,BAL,AL,133,507,-8,-4,1,1,8,-3,-0.2,19,16,1.6,.497,.498,1.5,1.0,15,"$7,500,000",*2H/3D,
2009,33,CIN,NL,81,331,287,25,74,13,1,5,37,1,0,33,34,.258,.336,.362,.699,85,104,7,3,4,4,2,23/H5,,2009,33,CIN,NL,81,331,-7,-2,0,-11,2,-18,-1.9,10,-8,-0.9,.477,.489,0.2,-0.9,3,"$8,500,000",23/H5,
2010,34,CIN,NL,97,352,313,30,93,18,1,7,48,0,0,29,49,.297,.364,.428,.792,112,134,8,5,3,2,1,2/H3,,2010,34,CIN,NL,97,352,6,-3,0,-8,5,1,0.0,11,12,1.1,.501,.501,2.0,-0.3,20,"$3,868,376",2/H3,
2011,35,CIN,NL,91,328,298,28,84,13,0,12,36,0,0,23,41,.282,.341,.446,.788,112,133,11,5,0,2,6,2H/3,,2011,35,CIN,NL,91,328,5,-3,-1,-3,5,3,0.3,10,13,1.3,.504,.502,1.6,0.2,16,"$2,947,318",2H/3,
2012,36,COL,NL,52,196,184,16,40,10,0,5,28,0,1,6,32,.217,.247,.353,.601,51,65,4,2,2,2,1,2/H3,,2012,36,COL,NL,52,196,-12,-3,0,-6,3,-18,-1.9,6,-12,-1.3,.463,.488,-0.7,-0.3,-6,"$3,200,000",2/H3,
2013,37,LAD,NL,17,55,48,4,10,2,0,3,6,1,0,6,7,.208,.291,.438,.728,103,21,6,0,0,1,0,2/H3D,,2013,37,LAD,NL,17,55,0,0,-1,1,0,0,0.0,2,2,0.2,.502,.500,0.1,0.2,1,"$3,200,000",2/H3D,
