Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1996,23,MON,NL,4,6,5,1,1,0,0,0,0,1,0,1,1,.200,.333,.200,.533,44,1,1,0,0,0,0,/2H,,1996,23,MON,NL,4,6,0,0,0,0,0,0,0.0,0,0,0.0,.490,.500,0.0,0.0,0,"$109,000",/2H,
1997,24,MON,NL,13,27,26,0,7,0,0,0,2,1,0,0,5,.269,.259,.269,.528,40,7,0,0,0,1,0,2/H,,1997,24,MON,NL,13,27,-3,0,0,0,0,-2,-0.2,1,-1,-0.1,.486,.499,-0.1,0.0,-1,,2/H,
1998,25,SEA,AL,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2,,1998,25,SEA,AL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.474,.500,0.0,0.0,0,,/2,
2000,27,HOU,NL,14,47,43,3,11,2,0,1,5,0,0,3,6,.256,.298,.372,.670,64,16,5,0,0,1,2,2,,2000,27,HOU,NL,14,47,-4,0,-1,0,1,-4,-0.4,1,-3,-0.3,.471,.498,-0.3,0.1,-3,,2,
2002,29,HOU,NL,2,6,4,1,1,1,0,0,0,0,0,1,0,.250,.500,.500,1.000,159,2,0,1,0,0,0,/2,,2002,29,HOU,NL,2,6,1,0,0,0,0,1,0.1,0,1,0.1,.530,.500,0.1,0.0,1,,/2,
2003,30,HOU,NL,19,38,37,5,10,1,1,1,4,0,0,1,6,.270,.289,.432,.722,83,16,3,0,0,0,0,2/H,,2003,30,HOU,NL,19,38,-1,0,0,0,1,-1,-0.1,1,1,0.1,.497,.500,0.1,0.1,1,"$300,000",2/H,
2004,31,HOU,NL,64,176,162,9,34,8,0,0,23,0,1,10,38,.210,.256,.259,.515,34,42,9,0,4,0,3,2/H,,2004,31,HOU,NL,64,176,-16,0,-1,3,3,-12,-1.2,5,-6,-0.7,.481,.493,-1.0,0.6,-9,"$315,000",2/H,
2005,32,HOU,NL,37,105,99,6,17,3,0,2,6,1,0,4,18,.172,.210,.263,.472,23,26,5,1,0,1,0,2/H,,2005,32,HOU,NL,37,105,-11,0,-1,2,2,-8,-0.8,3,-4,-0.5,.478,.495,-0.7,0.4,-6,"$360,000",2/H,
2006,33,BAL,AL,16,29,28,1,5,0,0,0,0,0,0,1,4,.179,.207,.179,.385,2,5,0,0,0,0,0,2/H,,2006,33,BAL,AL,16,29,-4,0,0,2,1,-1,-0.1,1,0,0.0,.493,.499,-0.2,0.3,-2,"$400,000",2/H,
2008,35,PIT,NL,42,122,116,12,30,4,0,1,10,0,0,4,14,.259,.287,.319,.606,62,37,2,1,0,1,1,2/H,,2008,35,PIT,NL,42,122,-5,0,0,4,2,2,0.1,4,6,0.5,.504,.501,0.1,0.6,2,,2/H,
2009,36,TOR,AL,51,168,159,10,41,8,0,2,15,1,1,6,23,.258,.285,.346,.631,65,55,4,0,3,0,0,2/H,,2009,36,TOR,AL,51,168,-8,0,0,9,3,4,0.4,6,10,1.0,.508,.503,0.1,1.2,1,"$500,000",2/H,
