Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1997,22,HOU,NL,19,67,62,8,19,5,0,2,6,1,0,4,18,.306,.358,.484,.842,122,30,0,1,0,0,0,8/H79,,1997,22,HOU,NL,19,67,2,0,0,-2,0,1,0.1,2,3,0.3,.505,.501,0.5,-0.2,5,"$150,000",8/H79,
1998,23,HOU,NL,74,234,211,31,64,15,0,7,35,3,3,17,37,.303,.355,.474,.829,118,100,5,2,0,4,0,89/7H,,1998,23,HOU,NL,74,234,5,0,0,8,0,13,1.2,7,20,2.0,.518,.508,1.2,0.7,13,"$170,000",89/7H,
1999,24,HOU,NL,108,449,383,49,87,25,2,15,56,8,5,56,73,.227,.328,.420,.748,89,161,5,4,0,5,2,78/9H,,1999,24,HOU,NL,108,449,-4,-2,2,8,-3,1,-0.1,14,15,1.3,.501,.501,0.6,0.4,7,"$260,000",78/9H,
2000,25,HOU,NL,153,644,558,118,175,42,3,44,122,13,6,56,110,.314,.391,.636,1.028,147,355,13,21,0,9,3,*897/H,MVP-20,2000,25,HOU,NL,153,644,38,-2,-1,13,0,48,4.3,20,68,6.3,.530,.528,5.1,1.2,55,"$330,000",*897/H,MVP-20
2001,26,HOU,NL,146,593,512,70,141,29,3,19,80,3,5,54,107,.275,.356,.455,.811,103,233,15,16,0,11,3,*897/H,,2001,26,HOU,NL,146,593,2,-2,-2,4,0,3,0.1,18,21,1.9,.502,.502,1.6,0.4,17,"$3,500,000",*897/H,
2002,27,HOU,NL,114,439,388,54,91,17,4,15,48,6,2,43,85,.235,.319,.415,.734,87,161,13,6,0,2,1,*9/H8,,2002,27,HOU,NL,114,439,-7,-3,-2,4,-4,-11,-1.3,14,2,0.1,.489,.493,-0.3,0.0,-2,"$5,500,000",*9/H8,
2003,28,HOU,NL,141,585,514,91,159,43,4,28,88,9,7,58,104,.309,.385,.572,.957,143,294,10,8,0,5,8,*9/HD,MVP-18,2003,28,HOU,NL,141,585,30,-4,-1,19,-5,39,3.9,18,58,5.7,.528,.525,3.7,1.4,39,"$8,500,000",*9/HD,MVP-18
2004,29,TOT,NL,144,579,523,67,125,26,3,25,82,4,4,44,129,.239,.301,.444,.745,90,232,19,5,0,6,7,*9/7H,,2004,29,HOU,NL,58,220,-7,-2,-1,7,-2,-4,-0.5,7,3,0.2,.493,.497,-0.5,0.5,-4,"$12,500,000",9/H,
2005,30,TEX,AL,88,339,308,43,68,12,0,16,43,1,2,26,74,.221,.289,.416,.705,81,128,8,4,0,1,1,9/H8D,,2004,29,NYM,NL,86,359,-4,-1,-1,9,-4,-1,-0.2,11,10,0.9,.499,.499,0.0,0.5,1,,9/7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,30,TEX,AL,88,339,-10,0,-1,8,-3,-6,-0.6,13,7,0.6,.493,.496,-0.2,0.5,-1,"$5,000,000",9/H8D,
