Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1996,23,CHW,AL,4,6,6,1,4,1,0,0,2,0,0,0,0,.667,.667,.833,1.500,286,5,1,0,0,0,0,/2,,1996,23,CHW,AL,4,6,2,-1,0,0,0,1,0.1,0,1,0.1,.518,.500,0.1,0.0,1,,/2,
1997,24,CHW,AL,10,17,15,1,3,0,1,0,2,0,0,1,6,.200,.250,.333,.583,54,5,0,0,1,0,0,2/H,,1997,24,CHW,AL,10,17,-1,0,0,0,0,-1,-0.1,1,0,0.0,.490,.499,0.0,0.0,0,,2/H,
1998,25,CHW,AL,34,121,111,14,23,6,0,3,15,0,0,7,22,.207,.254,.342,.597,56,38,3,0,3,0,0,2,,1998,25,CHW,AL,34,121,-8,0,0,0,2,-7,-0.7,5,-2,-0.2,.480,.496,-0.2,0.2,-2,"$175,000",2,
1999,26,MON,NL,17,24,22,3,4,1,0,0,0,0,0,2,6,.182,.250,.227,.477,24,5,0,0,0,0,0,2/H,,1999,26,MON,NL,17,24,-3,0,0,1,0,-2,-0.2,1,-1,-0.1,.492,.499,-0.2,0.1,-2,"$200,000",2/H,
2000,27,SEA,AL,8,15,14,2,3,0,0,1,1,0,0,1,4,.214,.267,.429,.695,77,6,0,0,0,0,0,/2,,2000,27,SEA,AL,8,15,-1,0,0,0,0,0,0.0,1,0,0.0,.496,.500,0.0,0.0,0,,/2,
2001,28,CHC,NL,52,146,135,13,30,10,0,2,13,0,0,7,26,.222,.266,.341,.606,59,46,4,1,3,0,3,2/H,,2001,28,CHC,NL,52,146,-9,0,0,1,2,-6,-0.6,5,-1,-0.2,.489,.497,-0.3,0.3,-2,,2/H,
2002,29,TOT,NL,73,233,211,19,55,14,1,3,22,0,0,17,41,.261,.316,.379,.695,84,80,7,1,2,2,4,2/H3,,2002,29,CHC,NL,22,64,0,0,0,2,1,3,0.3,2,5,0.5,.514,.502,0.3,0.3,3,"$277,500",2/H3,
2003,30,BAL,AL,18,55,49,8,13,1,0,1,3,0,0,6,12,.265,.345,.347,.692,85,17,0,0,0,0,0,2/H,,2002,29,MIL,NL,51,169,-5,0,-1,0,3,-4,-0.4,5,2,0.1,.492,.498,0.1,0.2,2,,2/H3,
2004,31,BAL,AL,37,77,73,5,11,3,0,1,3,0,0,4,18,.151,.195,.233,.428,12,17,2,0,0,0,0,2/H,,2003,30,BAL,AL,18,55,-1,0,0,1,1,2,0.2,2,4,0.4,.508,.501,0.3,0.2,3,,2/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,31,BAL,AL,37,77,-9,0,0,3,1,-5,-0.5,3,-2,-0.2,.487,.497,-0.5,0.5,-5,,2/H,
