Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2011,27,TBR,AL,20,60,55,4,12,2,0,1,7,0,0,5,13,.218,.283,.309,.592,68,17,0,0,0,0,0,2/H3,,2011,27,TBR,AL,20,60,-2,-1,1,0,1,-1,-0.1,2,2,0.2,.496,.500,0.2,0.1,2,,2/H3,
2013,29,TEX,AL,13,30,28,3,5,3,0,0,0,0,0,2,6,.179,.233,.286,.519,41,8,1,0,0,0,0,/352HD,,2013,29,TEX,AL,13,30,-2,0,0,0,0,-3,-0.3,1,-2,-0.2,.479,.498,-0.2,0.0,-2,,/352HD,
2014,30,TEX,AL,93,338,306,36,73,15,0,13,40,0,1,17,71,.239,.290,.415,.705,95,127,4,7,4,4,1,2/H,,2014,30,TEX,AL,93,338,-1,0,1,7,6,12,1.4,12,24,2.6,.514,.508,1.8,1.5,17,"$502,232",2/H,
2015,31,TEX,AL,78,273,233,33,54,16,1,10,34,0,0,28,62,.232,.325,.438,.762,104,102,4,5,5,2,0,2,,2015,31,TEX,AL,78,273,2,-1,0,2,5,7,0.8,10,16,1.7,.509,.504,1.5,0.8,14,"$518,290",2,
2016,32,TEX,AL,57,170,147,21,33,11,0,9,20,0,1,15,44,.224,.314,.483,.797,105,71,4,5,1,2,0,2/HD,,2016,32,TEX,AL,57,170,0,-2,-1,1,3,2,0.2,6,8,0.8,.503,.501,0.7,0.4,7,"$1,550,000",2/HD,
2017,33,TEX,AL,88,309,263,46,67,13,1,17,38,1,0,34,79,.255,.360,.506,.866,120,133,5,10,1,1,0,2/DH,,2017,33,TEX,AL,88,309,9,-2,0,3,5,14,1.5,11,25,2.5,.516,.509,2.2,0.9,22,"$1,950,000",2/DH,
2018,34,TEX,AL,113,426,360,48,80,15,1,18,65,2,0,45,140,.222,.338,.419,.757,99,151,7,19,0,2,0,2/HD,,2018,34,TEX,AL,113,426,1,-2,-1,-4,7,1,0.3,15,16,1.7,.501,.500,2.0,0.4,20,"$2,250,000",2/HD,
2019,35,HOU,AL,114,437,366,57,87,22,1,17,58,1,2,51,125,.238,.347,.443,.790,105,162,11,13,2,5,1,*2/H,,2019,35,HOU,AL,114,437,8,-1,-2,10,7,23,2.4,16,38,3.9,.519,.514,2.8,1.8,28,"$5,750,000",*2/H,
2020,36,TOT,MLB,26,82,74,4,12,3,0,1,7,0,0,6,21,.162,.232,.243,.475,32,18,5,1,0,1,0,2/DH,,2020,36,TEX,AL,14,49,-6,0,-1,-2,1,-8,-0.8,2,-6,-0.6,.442,.495,-0.5,-0.1,-4,"$5,500,000",2/DH,
2021,37,CHC,NL,45,112,97,13,22,5,1,5,15,0,0,9,36,.227,.324,.454,.778,108,44,2,5,1,0,0,2H/4D,,2020,36,NYM,NL,12,33,-2,0,0,-1,1,-2,-0.2,1,-1,-0.1,.483,.499,0.0,0.0,0,,2,
2022,38,BAL,AL,67,220,195,10,35,9,0,4,22,1,0,19,67,.179,.265,.287,.552,60,56,4,4,1,1,0,2/H,,2021,37,CHC,NL,45,112,1,-1,0,-3,2,-2,-0.2,4,2,0.2,.496,.499,0.5,-0.2,5,,2H/4D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022,38,BAL,AL,67,220,-8,-2,-1,1,4,-5,-0.6,8,2,0.2,.492,.497,0.1,0.5,1,"$900,000",2/H,
