Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1995,20,LAD,NL,40,46,42,4,10,2,0,0,3,1,0,3,10,.238,.283,.286,.568,57,12,1,0,0,1,0,7H8/9,,1995,20,LAD,NL,40,46,-3,0,0,-3,-1,-7,-0.7,1,-6,-0.6,.482,.496,-0.3,-0.4,-2,"$109,000",7H8/9,
1996,21,LAD,NL,86,238,211,26,52,11,1,2,18,5,1,24,47,.246,.326,.336,.663,81,71,0,1,2,0,0,8H7/9,,1996,21,LAD,NL,86,238,-5,0,1,1,0,-2,-0.3,7,6,0.4,.498,.499,0.4,0.1,4,"$124,000",8H7/9,
1997,22,LAD,NL,80,227,194,31,53,10,2,3,17,9,1,25,44,.273,.362,.392,.753,104,76,1,3,3,2,2,87H/9,,1997,22,LAD,NL,80,227,2,3,1,-2,0,5,0.4,7,12,1.1,.506,.503,1.3,-0.2,14,"$200,000",87H/9,
1998,23,LAD,NL,105,271,240,33,58,11,1,2,17,8,2,27,57,.242,.317,.321,.638,73,77,1,0,3,1,2,7H89,,1998,23,LAD,NL,105,271,-8,0,2,0,-2,-8,-0.9,8,1,-0.1,.492,.495,0.0,-0.2,0,"$280,000",7H89,
1999,24,NYM,NL,155,525,453,90,142,23,4,4,36,66,17,60,100,.313,.396,.408,.804,107,185,5,3,7,2,3,*9H87/4,,1999,24,NYM,NL,155,525,10,6,1,-11,-5,1,-0.1,16,17,1.5,.501,.500,2.6,-1.6,28,"$487,500",*9H87/4,
2000,25,HOU,NL,74,305,259,54,73,2,5,6,26,25,11,43,47,.282,.383,.398,.781,93,103,6,0,2,1,0,879/H,,2000,25,HOU,NL,74,305,-1,1,0,-3,-1,-4,-0.5,10,6,0.5,.495,.498,0.8,-0.4,9,"$2,400,000",879/H,
2001,26,DET,AL,131,572,523,79,153,14,11,6,48,55,15,36,83,.293,.337,.396,.733,99,207,5,2,6,5,1,*89/DH,,2001,26,DET,AL,131,572,6,4,2,-23,-1,-14,-1.2,21,8,0.8,.490,.492,3.0,-2.3,31,"$2,700,000",*89/DH,
2002,27,NYM,NL,149,562,511,65,133,19,2,7,41,25,4,42,92,.260,.318,.346,.664,78,177,10,2,5,2,1,*7H,,2002,27,NYM,NL,149,562,-10,4,1,-4,-5,-14,-1.5,18,4,0.2,.491,.491,0.7,-1.0,8,"$2,375,000",*7H,
2003,28,NYM,NL,148,527,484,70,129,25,4,7,37,14,9,38,86,.267,.320,.378,.698,84,183,8,1,2,2,3,*9H8,,2003,28,NYM,NL,148,527,-10,0,0,-8,-4,-21,-2.3,16,-5,-0.7,.486,.487,0.2,-1.2,3,"$4,875,000",*9H8,
2004,29,STL,NL,95,223,200,22,53,9,2,3,23,5,1,19,41,.265,.327,.375,.702,82,75,5,0,3,1,2,H97/D,,2004,29,STL,NL,95,223,-6,1,0,-2,-2,-10,-1.1,7,-3,-0.4,.490,.494,-0.2,-0.5,-1,"$5,375,000",H97/D,
2005,30,STL,NL,37,61,57,4,9,1,0,0,8,0,2,2,6,.158,.197,.175,.372,-1,10,2,1,0,1,0,H9/7,,2005,30,STL,NL,37,61,-7,-2,0,-2,-1,-12,-1.2,2,-10,-1.0,.467,.493,-0.8,-0.3,-8,"$5,500,000",H9/7,
