Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2005,22,CHC,NL,41,89,80,13,24,3,0,1,6,1,0,5,11,.300,.356,.375,.731,90,30,4,2,2,0,1,6H/4,,2005,22,CHC,NL,41,89,-2,0,-1,-1,1,-2,-0.3,3,0,0.0,.494,.499,0.1,0.0,1,,6H/4,
2006,23,CHC,NL,151,572,534,51,131,18,7,6,41,8,8,17,109,.245,.271,.339,.610,54,181,10,3,15,3,4,*64/H,,2006,23,CHC,NL,151,572,-39,-1,0,-1,8,-33,-3.4,18,-16,-1.7,.478,.479,-1.6,0.6,-15,"$336,000",*64/H,
2007,24,CHC,NL,38,80,74,6,15,2,0,4,13,2,1,3,18,.203,.231,.392,.623,54,29,0,0,2,1,0,H6/45,,2007,24,CHC,NL,38,80,-5,0,0,2,1,-1,-0.2,2,1,0.1,.496,.499,-0.1,0.3,-1,"$400,000",H6/45,
2008,25,CHC,NL,99,236,216,36,58,12,0,2,28,4,1,18,41,.269,.328,.352,.680,74,76,6,1,1,0,2,4H6/587,,2008,25,CHC,NL,99,236,-5,0,1,-4,3,-5,-0.6,7,2,0.1,.494,.497,0.5,-0.2,6,"$407,000",4H6/587,
2009,26,TOT,MLB,105,376,341,32,71,8,3,10,38,5,2,19,79,.208,.256,.337,.593,58,115,9,3,13,0,3,64/H75,,2009,26,SEA,AL,59,206,-19,-1,0,-4,2,-22,-2.2,8,-14,-1.4,.463,.487,-1.0,-0.2,-10,"$822,500",64/7H5,
2010,27,PIT,NL,139,502,468,42,120,29,3,8,38,12,3,23,106,.256,.293,.382,.675,82,179,10,2,7,2,4,*6/H,,2009,26,PIT,NL,46,170,-3,1,0,-2,2,-2,-0.2,5,4,0.3,.497,.499,0.6,0.0,6,,6/H,
2011,28,PIT,NL,128,454,413,43,103,25,3,2,32,2,5,30,93,.249,.297,.339,.636,79,140,11,0,6,5,7,*6/H4,,2010,27,PIT,NL,139,502,-10,2,1,-9,7,-9,-1.0,16,7,0.5,.493,.494,1.5,-0.3,16,"$1,125,000",*6/H,
2012,29,NYM,NL,78,186,166,18,43,11,1,4,22,0,1,17,35,.259,.332,.410,.741,105,68,10,1,2,0,0,4H6/5,,2011,28,PIT,NL,128,454,-14,-2,1,6,6,-2,-0.3,14,12,1.1,.498,.498,0.4,1.4,6,"$1,850,000",*6/H4,
2013,30,TOT,MLB,89,288,264,24,64,8,3,3,21,5,4,14,73,.242,.287,.330,.617,75,87,6,3,6,1,1,6/DH35,,2012,29,NYM,NL,78,186,1,-1,0,-4,2,-2,-0.2,6,4,0.4,.498,.499,0.8,-0.2,8,"$1,200,000",4H6/5,
2014,31,PHI,NL,7,9,9,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/H65,,2013,30,HOU,AL,51,155,-9,0,0,-4,1,-11,-1.2,6,-6,-0.6,.476,.492,-0.3,-0.2,-2,"$1,150,000",6/DH3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,30,SDP,NL,38,133,0,-1,1,-5,2,-4,-0.5,4,0,-0.1,.488,.497,0.5,-0.4,5,,6/H5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,31,PHI,NL,7,9,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.467,.499,-0.2,0.0,-2,,/H65,
