Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2014,20,TEX,AL,114,417,386,39,100,14,7,9,48,4,7,17,71,.259,.297,.402,.698,93,155,7,5,6,3,1,*4/HD,,2014,20,TEX,AL,114,417,-5,-2,0,-6,3,-10,-0.9,15,5,0.5,.491,.493,1.1,-0.2,11,,*4/HD,
2015,21,TEX,AL,120,470,426,54,111,21,9,16,61,6,7,23,79,.261,.316,.465,.781,107,198,3,14,2,5,2,*4/H,,2015,21,TEX,AL,120,470,4,-1,3,-6,3,3,0.5,17,20,2.1,.503,.502,2.7,-0.2,26,"$513,850",*4/H,
2016,22,TEX,AL,150,632,605,89,164,33,4,33,88,14,7,19,135,.271,.296,.502,.798,105,304,6,4,0,4,0,*4/DH,,2016,22,TEX,AL,150,632,3,1,2,-7,4,3,0.5,23,26,2.7,.502,.502,3.4,-0.2,33,"$522,700",*4/DH,
2017,23,TEX,AL,162,651,607,79,124,21,3,30,75,15,6,32,162,.204,.252,.397,.649,63,241,13,8,0,4,5,*4/HD,,2017,23,TEX,AL,162,651,-35,1,0,2,4,-28,-2.7,23,-4,-0.5,.483,.483,-0.7,0.7,-6,"$1,333,334",*4/HD,
2018,24,TEX,AL,129,535,474,76,120,23,2,18,63,12,12,43,127,.253,.326,.424,.751,96,201,5,11,2,5,2,*4/DH,,2018,24,TEX,AL,129,535,-5,-4,3,7,3,4,0.7,19,23,2.5,.503,.503,1.7,1.2,16,"$3,333,334",*4/DH,
2019,25,TEX,AL,145,581,522,77,107,30,1,30,93,11,9,52,178,.205,.283,.439,.721,79,229,4,5,1,1,2,*4/HD,,2019,25,TEX,AL,145,581,-19,-4,2,-8,3,-25,-2.2,21,-4,-0.3,.483,.485,0.4,-0.3,4,"$7,833,333",*4/HD,
2020,26,TEX,AL,38,148,138,15,23,4,0,10,30,0,1,7,47,.167,.209,.413,.623,66,57,2,1,0,2,0,4/D,,2020,26,TEX,AL,38,148,-7,0,0,-5,1,-10,-1.1,5,-5,-0.6,.473,.494,-0.1,-0.4,0,"$9,333,333",4/D,
2021,27,NYY,AL,102,361,322,42,65,12,0,15,39,0,1,27,100,.202,.286,.379,.665,82,122,3,11,1,0,2,45/H,,2021,27,NYY,AL,102,361,-9,0,0,-3,3,-9,-0.9,12,3,0.3,.491,.494,0.6,0.0,6,"$12,333,333",45/H,
2022,28,BAL,AL,135,472,426,49,88,19,3,13,53,6,1,32,109,.207,.275,.357,.632,81,152,9,10,0,4,1,*4H/5D,,2022,28,BAL,AL,135,472,-11,0,0,-9,4,-16,-1.8,16,0,-0.2,.487,.489,0.8,-0.6,9,,*4H/5D,
2023,29,SDP,NL,59,157,138,21,28,9,0,4,18,2,1,17,37,.203,.299,.355,.654,82,49,2,2,0,0,0,4H/5D93,,2023,29,SDP,NL,59,157,-3,0,0,-5,0,-8,-0.8,5,-2,-0.3,.487,.495,0.2,-0.5,3,"$800,000",4H/5D93,
