Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2011,21,KCR,AL,39,158,148,20,49,8,2,3,21,0,0,7,20,.331,.361,.473,.834,128,70,5,1,0,2,0,2,,2011,21,KCR,AL,39,158,7,-1,-1,1,3,8,0.9,6,14,1.5,.522,.505,1.4,0.4,13,,2,
2012,22,KCR,AL,76,305,289,38,87,16,0,11,39,0,0,12,27,.301,.328,.471,.798,115,136,14,1,0,3,3,2/DH,,2012,22,KCR,AL,76,305,5,0,-2,10,5,18,1.9,11,29,3.0,.525,.512,2.0,1.6,19,"$750,000",2/DH,
2013,23,KCR,AL,138,526,496,48,145,25,3,13,79,0,0,21,63,.292,.323,.433,.757,105,215,13,4,0,5,2,*2/H3,"AS,MVP-22,GG",2013,23,KCR,AL,138,526,3,-1,-1,11,8,20,2.4,19,39,4.2,.516,.513,2.8,2.3,28,"$1,000,000",*2/H3,"AS,MVP-22,GG"
2014,24,KCR,AL,150,606,578,57,150,28,2,17,70,1,0,22,85,.260,.289,.403,.692,91,233,22,3,0,3,2,*2/DH,"AS,GG",2014,24,KCR,AL,150,606,-6,0,-2,10,9,11,1.4,22,33,3.6,.508,.508,2.4,2.3,23,"$1,500,000",*2/DH,"AS,GG"
2015,25,KCR,AL,142,553,531,52,138,25,0,21,70,1,0,13,82,.260,.280,.426,.706,88,226,23,4,0,5,4,*2/D3H,"AS,GG",2015,25,KCR,AL,142,553,-6,-3,-3,6,9,3,0.5,20,23,2.4,.502,.502,1.7,1.7,16,"$1,750,000",*2/D3H,"AS,GG"
2016,26,KCR,AL,139,546,514,57,127,28,2,22,64,0,0,22,119,.247,.288,.438,.725,91,225,12,8,0,2,3,*2/DH3,"AS,GG,SS",2016,26,KCR,AL,139,546,-9,-1,0,11,8,8,1.0,20,28,2.9,.506,.505,1.7,2.0,17,"$2,000,000",*2/DH3,"AS,GG,SS"
2017,27,KCR,AL,129,499,471,57,126,24,1,27,80,1,0,17,95,.268,.297,.495,.792,106,233,23,5,0,5,3,*2D/H,AS,2017,27,KCR,AL,129,499,-1,-1,-3,6,7,7,0.8,18,25,2.5,.506,.505,1.9,1.3,19,"$4,200,000",*2D/H,AS
2018,28,KCR,AL,129,544,510,52,120,23,0,27,80,1,1,17,108,.235,.274,.439,.713,91,224,19,12,0,5,0,2D/3H,"AS,GG,SS",2018,28,KCR,AL,129,544,-6,-2,-3,9,4,1,0.4,19,21,2.3,.501,.501,1.2,1.5,12,"$8,700,000",2D/3H,"AS,GG,SS"
2020,30,KCR,AL,37,156,150,22,50,12,0,11,32,1,0,3,36,.333,.353,.633,.986,159,95,0,2,0,1,0,2/3D,"MVP-17,SS",2020,30,KCR,AL,37,156,12,-1,0,2,2,16,1.6,5,21,2.1,.542,.510,1.9,0.4,19,"$14,200,000",2/3D,"MVP-17,SS"
2021,31,KCR,AL,161,665,620,88,169,24,0,48,121,1,0,28,170,.273,.316,.544,.859,128,337,14,13,0,4,4,*2D/H,"AS,MVP-7,SS",2021,31,KCR,AL,161,665,23,-2,0,6,5,31,3.2,23,54,5.5,.519,.519,4.8,1.2,47,"$14,200,000",*2D/H,"AS,MVP-7,SS"
2022,32,KCR,AL,114,473,445,48,113,23,1,23,76,0,0,18,109,.254,.292,.465,.757,110,207,9,7,0,3,2,2D,,2022,32,KCR,AL,114,473,7,-2,-1,4,2,11,1.1,16,27,2.7,.510,.507,2.3,0.6,23,"$18,000,000",2D,
2023,33,KCR,AL,140,580,538,59,137,21,0,23,80,0,0,19,135,.255,.292,.422,.714,92,227,11,13,0,8,6,2D3,AS,2023,33,KCR,AL,140,580,-8,-3,-1,-5,3,-14,-1.4,20,6,0.5,.490,.491,1.0,-0.2,11,"$20,000,000",2D3,AS
2024,34,KCR,AL,60,243,219,24,69,15,0,10,41,0,0,18,39,.315,.383,.521,.903,154,114,9,6,0,0,5,23D/H,,2024,34,KCR,AL,60,243,14,-2,-2,1,1,13,1.4,8,21,2.2,.523,.509,2.1,0.2,20,"$20,000,000",23D/H,
