Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2012,23,WSN,NL,12,36,30,2,8,2,0,0,2,0,0,4,11,.267,.389,.333,.722,99,10,1,2,0,0,0,2/H,,2012,23,WSN,NL,12,36,1,0,0,-1,1,0,0.0,1,1,0.1,.498,.500,0.2,0.0,2,,2/H,
2013,24,WSN,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/2H,,2013,24,WSN,NL,2,1,0,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,/2H,
2014,25,WSN,NL,20,70,64,7,10,1,0,1,3,0,0,6,20,.156,.229,.219,.447,25,14,1,0,0,0,0,2/H,,2014,25,WSN,NL,20,70,-6,0,1,3,1,-1,-0.1,2,1,0.1,.495,.499,-0.2,0.5,-2,"$501,000",2/H,
2015,26,BOS,AL,41,128,114,8,21,2,0,0,3,0,1,7,28,.184,.238,.202,.439,20,23,4,1,6,0,1,2/HD5,,2015,26,BOS,AL,41,128,-11,-1,-1,6,2,-5,-0.6,5,-1,-0.1,.486,.496,-0.8,0.9,-7,"$510,400",2/HD5,
2016,27,BOS,AL,78,283,252,36,78,17,2,7,35,0,0,23,66,.310,.369,.476,.845,122,120,4,2,4,2,1,2/HD,,2016,27,BOS,AL,78,283,11,-2,0,4,4,18,1.9,10,28,2.9,.524,.511,2.5,0.9,24,,2/HD,
2017,28,BOS,AL,85,301,271,32,61,14,0,7,39,0,0,25,74,.225,.290,.354,.644,68,96,5,1,1,3,1,2/H,,2017,28,BOS,AL,85,301,-14,-2,0,7,5,-4,-0.4,11,7,0.7,.495,.498,0.0,1.3,0,"$1,300,000",2/H,
2018,29,BOS,AL,89,288,265,30,47,12,0,5,22,1,0,15,75,.177,.232,.279,.511,37,74,6,4,3,1,0,2/H,,2018,29,BOS,AL,89,288,-23,0,-1,3,5,-15,-1.5,10,-5,-0.5,.482,.490,-0.9,1.0,-8,"$1,950,000",2/H,
2019,30,BOS,AL,65,191,172,14,33,3,0,5,19,0,0,13,47,.192,.251,.297,.548,42,51,0,1,4,1,0,2/3DH,,2019,30,BOS,AL,65,191,-13,0,1,-4,3,-14,-1.3,7,-7,-0.6,.480,.492,-0.3,0.0,-3,"$2,475,000",2/3DH,
2020,31,CLE,AL,25,81,66,4,9,1,0,2,4,0,0,14,21,.136,.296,.242,.539,51,16,2,1,0,0,0,2/HD,,2020,31,CLE,AL,25,81,-5,-1,0,0,1,-4,-0.4,3,-1,-0.1,.484,.498,-0.1,0.1,-1,"$2,000,000",2/HD,
2021,32,MIA,NL,83,220,202,15,37,5,0,4,14,0,0,12,65,.183,.237,.267,.505,37,54,2,3,1,2,0,2H/15D,,2021,32,MIA,NL,83,220,-18,-2,0,2,3,-14,-1.5,8,-6,-0.8,.483,.491,-1.0,0.5,-8,"$1,250,000",2H/15D,
2022,33,TOT,AL,33,86,71,6,12,3,0,0,4,0,0,13,27,.169,.298,.211,.509,50,15,2,0,2,0,0,2/1,,2022,33,CLE,AL,8,21,0,0,0,-2,0,-2,-0.2,1,-1,-0.2,.472,.499,0.1,-0.2,1,,/21,
2023,34,TEX,AL,21,44,41,4,6,2,0,0,4,0,0,1,20,.146,.186,.195,.381,6,8,2,1,1,0,0,2/1H,,2022,33,MIN,AL,25,65,-4,-1,0,-1,1,-5,-0.6,2,-3,-0.4,.477,.496,-0.3,0.0,-2,,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023,34,TEX,AL,21,44,-6,0,0,-1,1,-6,-0.7,2,-5,-0.5,.468,.496,-0.4,0.0,-4,"$100,000",2/1H,
