Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1995,21,TOR,AL,41,106,98,12,24,3,1,1,8,0,1,7,18,.245,.292,.327,.619,62,32,6,0,0,1,0,6/4H5,,1995,21,TOR,AL,41,106,-5,1,-1,0,2,-4,-0.4,4,0,0.0,.491,.498,0.0,0.2,0,"$109,000",6/4H5,
1996,22,TOR,AL,91,328,295,24,74,13,4,1,19,1,2,25,29,.251,.311,.332,.643,64,98,10,1,6,1,0,45/6H,,1996,22,TOR,AL,91,328,-13,-1,-1,6,2,-7,-0.5,12,5,0.6,.493,.496,0.0,0.9,-1,"$140,000",45/6H,
1997,23,TOR,AL,40,138,123,9,24,3,2,0,9,1,1,11,28,.195,.267,.252,.519,38,31,2,1,3,0,0,6/4,,1997,23,TOR,AL,40,138,-9,0,1,3,2,-4,-0.3,5,2,0.2,.491,.498,-0.1,0.5,-1,"$185,000",6/4,
1998,24,TOR,AL,6,11,9,1,1,0,0,0,0,0,0,1,3,.111,.200,.111,.311,-15,1,1,0,1,0,0,/64H,,1998,24,TOR,AL,6,11,-2,0,0,1,0,-1,-0.1,0,0,0.0,.490,.500,-0.1,0.1,-1,,/64H,
2000,26,PHI,NL,45,152,140,17,31,7,1,1,13,1,1,11,30,.221,.278,.307,.585,48,43,3,0,1,0,2,6/H,,2000,26,PHI,NL,45,152,-12,1,2,-8,2,-15,-1.5,5,-11,-1.1,.468,.491,-0.3,-0.5,-3,,6/H,
2001,27,PHI,NL,62,145,135,11,41,7,1,3,19,0,1,7,22,.304,.347,.437,.784,104,59,2,2,1,0,1,4H/569,,2001,27,PHI,NL,62,145,0,-1,0,7,1,7,0.7,5,12,1.1,.512,.504,0.5,0.8,5,"$280,000",4H/569,
2002,28,PHI,NL,92,237,212,22,53,13,1,5,20,1,0,21,40,.250,.319,.392,.711,91,83,5,1,2,1,6,4H56/31,,2002,28,PHI,NL,92,237,-5,2,0,2,2,1,0.0,7,8,0.7,.501,.500,0.6,0.4,6,"$475,000",4H56/31,
2003,29,PHI,NL,125,327,298,39,79,18,1,5,33,0,1,23,54,.265,.316,.383,.698,87,114,7,0,4,2,11,5H4/36,,2003,29,PHI,NL,125,327,-9,1,1,-7,1,-12,-1.3,10,-2,-0.3,.490,.492,0.4,-0.6,5,"$550,000",5H4/36,
2004,30,PHI,NL,86,190,176,22,38,13,2,6,21,0,0,9,44,.216,.257,.415,.671,67,73,2,1,3,1,2,H5436,,2004,30,PHI,NL,86,190,-10,0,1,0,1,-9,-1.0,6,-3,-0.4,.489,.494,-0.4,0.0,-3,"$750,000",H5436,
2005,31,PHI,NL,94,176,159,17,37,7,0,0,22,1,0,11,27,.233,.289,.277,.566,47,44,6,2,3,1,2,H356,,2005,31,PHI,NL,94,176,-14,1,-1,5,0,-9,-1.0,5,-3,-0.4,.490,.494,-1.0,0.4,-8,"$650,000",H356,
2006,32,TBD,AL,99,254,241,31,51,12,0,2,16,1,0,5,44,.212,.224,.286,.510,32,69,3,0,4,4,0,564H/937,,2006,32,TBD,AL,99,254,-26,1,1,8,3,-13,-1.2,10,-3,-0.3,.487,.492,-1.1,1.1,-11,,564H/937,
2008,34,HOU,NL,8,10,10,0,2,0,0,0,0,0,0,0,2,.200,.200,.200,.400,7,2,0,0,0,0,0,/4H5,,2008,34,HOU,NL,8,10,-1,0,0,-2,0,-3,-0.3,0,-2,-0.2,.468,.498,0.0,-0.2,0,,/4H5,
