Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1999,21,MON,NL,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,,1999,21,MON,NL,1,2,-1,0,0,0,0,0,0.0,0,0,0.0,.469,.500,0.0,0.0,0,,/1,
2000,22,MON,NL,15,30,26,1,1,0,0,0,1,0,0,1,12,.038,.074,.038,.113,-71,1,0,0,3,0,0,1,,2000,22,MON,NL,15,30,-6,0,0,0,5,-1,-0.1,0,-1,-0.1,.491,.499,-0.1,0.0,-1,"$200,000",1,
2001,23,MON,NL,32,59,53,2,8,1,0,0,4,0,0,0,17,.151,.151,.170,.321,-17,9,0,0,6,0,0,1,,2001,23,MON,NL,32,59,-10,-1,1,0,9,-2,-0.2,0,-2,-0.2,.495,.499,-0.2,0.0,-2,"$230,000",1,
2002,24,MON,NL,26,56,50,1,5,0,1,0,2,0,0,1,16,.100,.118,.140,.258,-33,7,0,0,5,0,0,1,,2002,24,MON,NL,26,56,-9,0,0,0,8,-1,-0.1,0,-1,-0.1,.496,.499,-0.1,0.0,-1,"$335,000",1,
2003,25,MON,NL,5,10,10,0,2,0,0,0,0,0,0,0,2,.200,.200,.200,.400,3,2,0,0,0,0,0,/1,,2003,25,MON,NL,5,10,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,100,000",/1,
2004,26,MON,NL,15,21,16,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,5,0,0,1,,2004,26,MON,NL,15,21,-6,0,0,0,3,-3,-0.3,0,-3,-0.3,.477,.498,-0.3,0.0,-3,"$2,100,000",1,
2005,27,WSN,NL,17,34,32,1,4,0,0,0,0,0,0,1,13,.125,.152,.125,.277,-24,4,0,0,1,0,0,1,,2005,27,WSN,NL,17,34,-5,0,0,0,5,0,-0.1,0,0,-0.1,.498,.500,0.0,0.0,0,"$2,260,000",1,
2006,28,WSN,NL,29,56,50,1,3,0,0,0,1,0,0,1,21,.060,.078,.060,.138,-63,3,2,0,5,0,0,1,,2006,28,WSN,NL,29,56,-12,0,0,0,9,-4,-0.4,0,-4,-0.4,.487,.498,-0.4,0.0,-4,"$2,100,000",1,
2007,29,PIT,NL,29,28,26,0,3,1,0,0,2,0,0,0,12,.115,.115,.154,.269,-30,4,0,0,2,0,0,1,,2007,29,PIT,NL,29,28,-5,-1,0,0,4,-2,-0.2,0,-2,-0.2,.494,.499,-0.2,0.0,-2,"$3,000,000",1,
2008,30,NYM,NL,3,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,,2008,30,NYM,NL,3,3,-1,0,0,0,0,0,0.0,0,0,0.0,.486,.500,0.0,0.0,0,,/1,
