Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1995,21,MON,NL,7,6,6,0,2,0,0,0,0,0,0,0,4,.333,.333,.333,.667,75,2,0,0,0,0,0,/1,,1995,21,MON,NL,7,6,0,0,0,0,1,1,0.1,0,1,0.1,.508,.500,0.1,0.0,1,"$109,000",/1,
1996,22,MON,NL,33,34,29,3,3,0,0,0,1,0,0,2,17,.103,.161,.103,.265,-29,3,0,0,3,0,0,1,,1996,22,MON,NL,33,34,-4,0,0,0,5,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,"$112,000",1,
1997,23,MON,NL,59,5,5,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,1997,23,MON,NL,59,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.499,.500,-0.1,0.0,-1,"$175,000",1,
1998,24,MON,NL,63,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,AS,1998,24,MON,NL,63,6,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.499,.499,-0.1,-0.1,-1,"$565,000",1,AS
1999,25,MON,NL,68,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,1999,25,MON,NL,68,5,-2,0,0,0,1,-1,-0.1,0,-1,-0.1,.499,.500,-0.1,0.0,-1,"$2,200,000",1,
2000,26,MON,NL,13,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2000,26,MON,NL,13,1,0,0,0,0,0,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,"$3,200,000",1,
2001,27,TOT,MLB,42,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,,2001,27,MON,NL,42,1,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$4,200,000",1,
2002,28,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,AS,2002,28,BOS,AL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$6,700,000",1,AS
2003,29,TOT,MLB,37,2,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,,0,0,0,1,0,0,1,,2003,29,TEX,AL,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$4,500,000",1,
2004,30,DET,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2003,29,FLA,NL,33,2,1,0,0,0,0,1,0.1,0,1,0.1,.503,.501,0.1,0.0,1,,1,
2005,31,TOT,MLB,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2004,30,DET,AL,3,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,31,DET,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$4,000,000",1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,31,PHI,NL,54,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,1,
