Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1963,23,CLE,AL,90,394,370,44,108,18,5,7,36,3,3,16,41,.292,.321,.424,.746,108,157,4,1,5,2,0,8/H,,1963,23,CLE,AL,90,394,3,0,1,8,0,13,1.3,12,24,2.4,.516,.509,1.6,0.8,16,,8/H,
1964,24,CLE,AL,150,622,577,64,156,26,2,6,51,21,11,34,77,.270,.309,.354,.663,84,204,4,1,4,6,2,*8/H,GG,1964,24,CLE,AL,150,622,-10,2,2,-4,-1,-11,-1.6,19,8,0.4,.492,.492,1.1,-0.7,12,,*8/H,GG
1965,25,CLE,AL,142,550,505,67,152,19,1,5,40,26,7,35,50,.301,.344,.372,.716,103,188,4,0,6,4,9,*8H,"AS,MVP-21",1965,25,CLE,AL,142,550,5,2,3,13,-1,23,2.5,17,39,4.2,.518,.516,2.7,1.4,26,,*8H,"AS,MVP-21"
1966,26,CLE,AL,121,371,344,42,86,6,4,3,19,8,6,24,37,.250,.297,.317,.614,77,109,6,0,1,2,6,*8H,,1966,26,CLE,AL,121,371,-9,2,2,2,0,-3,-0.6,12,9,0.7,.497,.498,0.6,0.0,7,,*8H,
1967,27,CLE,AL,139,375,359,47,103,17,5,2,22,6,7,10,30,.287,.307,.379,.686,101,136,5,1,4,1,0,*8H/7,,1967,27,CLE,AL,139,375,0,-3,1,2,0,-1,-0.3,12,11,1.0,.499,.499,1.0,0.0,10,,*8H/7,
1968,28,TOT,AL,144,545,519,49,144,17,7,3,31,25,16,18,53,.277,.301,.355,.656,102,184,4,1,4,3,1,*89H/7,,1968,28,CLE,AL,51,186,-5,0,0,6,-2,-1,-0.2,6,6,0.5,.498,.499,-0.2,0.4,0,,9/7H8,
1969,29,TOT,MLB,96,183,169,25,37,4,1,2,11,4,1,13,13,.219,.279,.290,.569,62,49,3,1,0,0,1,H98/371,,1968,28,CAL,AL,93,359,6,0,1,12,-1,18,2.1,12,30,3.4,.525,.514,2.1,1.2,19,"$16,000",89/H,
1970,30,STL,NL,111,199,183,29,57,14,3,1,33,4,1,13,19,.311,.355,.437,.792,110,80,4,0,2,1,1,H897,,1969,29,CAL,AL,33,78,-8,1,0,3,-1,-4,-0.4,3,-1,-0.2,.488,.497,-0.5,0.3,-4,,9H/38,
1971,31,PIT,NL,99,312,295,48,84,14,6,1,33,10,2,11,31,.285,.312,.383,.695,95,113,4,2,1,3,1,H9837,,1969,29,STL,NL,63,105,-1,1,1,0,-1,-1,0.0,4,3,0.1,.499,.500,0.1,0.0,3,"$40,000",H98/71,
1972,32,PIT,NL,117,403,368,60,117,19,2,4,28,14,1,26,44,.318,.367,.413,.780,124,152,3,3,5,1,6,79H/38,,1970,30,STL,NL,111,199,3,0,0,-5,-1,-2,-0.2,7,5,0.5,.498,.498,0.9,-0.6,9,,H897,
1973,33,TOT,MLB,97,152,147,14,27,2,0,1,7,0,2,5,11,.184,.211,.218,.428,22,32,1,0,0,0,1,H379/D8,,1971,31,PIT,NL,99,312,-1,3,2,-4,-3,-4,-0.4,11,7,0.7,.496,.497,1.1,-0.7,11,,H9837,
1974,34,OAK,AL,17,26,23,0,4,0,0,0,1,0,0,2,2,.174,.231,.174,.405,21,4,0,0,0,1,1,H/D879,,1972,32,PIT,NL,117,403,11,4,1,4,-5,15,1.8,13,28,3.0,.515,.510,2.5,0.0,24,,79H/38,
1977,37,LAD,NL,24,48,48,3,15,2,0,0,4,0,0,0,6,.313,.313,.354,.667,80,17,0,0,0,0,0,H/987,,1973,33,PIT,NL,59,85,-8,0,0,-1,-1,-10,-1.1,3,-7,-0.9,.481,.493,-0.8,-0.2,-6,,H3/79,
1978,38,LAD,NL,75,81,77,15,24,1,1,1,11,2,1,3,7,.312,.333,.390,.723,103,30,1,0,0,1,0,H7/983,,1973,33,OAK,AL,38,67,-5,0,0,1,-1,-5,-0.5,2,-3,-0.3,.486,.497,-0.4,0.0,-4,"$35,000",H9/37D8,
1979,39,LAD,NL,29,29,27,2,7,1,0,0,2,2,0,2,0,.259,.310,.296,.607,68,8,0,0,0,0,0,H/7,,1974,34,OAK,AL,17,26,-3,0,0,-2,-1,-5,-0.6,1,-5,-0.5,.464,.496,-0.3,-0.3,-2,"$35,000",H/D879,
1980,40,LAD,NL,7,6,6,1,1,0,0,0,0,0,0,0,1,.167,.167,.167,.333,-6,1,0,0,0,0,0,/H3,,1977,37,LAD,NL,24,48,0,0,1,-1,0,-1,-0.1,2,1,0.1,.497,.500,0.2,-0.2,2,,H/987,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,38,LAD,NL,75,81,2,0,1,1,-1,2,0.3,3,5,0.5,.504,.502,0.4,0.0,4,"$27,000",H7/983,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,39,LAD,NL,29,29,0,0,0,0,0,1,0.1,1,2,0.2,.504,.501,0.2,0.0,2,,H/7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,40,LAD,NL,7,6,-1,0,0,0,0,-1,-0.1,0,0,-0.1,.490,.500,-0.1,0.0,0,,/H3,
