Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2002,23,CLE,AL,12,36,32,2,9,1,0,1,5,0,0,3,2,.281,.333,.406,.740,99,13,1,0,0,1,0,/2HD,,2002,23,CLE,AL,12,36,0,0,0,-1,0,-1,-0.1,1,0,0.0,.492,.499,0.1,-0.1,1,,/2HD,
2003,24,CLE,AL,49,174,159,15,46,4,0,1,16,1,1,13,21,.289,.345,.333,.678,84,53,8,1,0,1,0,2/HD,,2003,24,CLE,AL,49,174,-1,-1,-1,-1,2,-2,-0.2,7,4,0.4,.496,.499,0.5,0.1,5,,2/HD,
2004,25,CLE,AL,141,591,520,77,147,38,1,23,108,0,1,60,69,.283,.359,.492,.851,125,256,16,5,0,6,11,*2/HD,"AS,MVP-21,SS",2004,25,CLE,AL,141,591,19,-1,-2,-8,8,16,1.6,22,38,3.7,.511,.509,4.4,0.2,46,"$304,500",*2/HD,"AS,MVP-21,SS"
2005,26,CLE,AL,147,622,547,73,167,33,0,20,80,0,1,63,78,.305,.378,.475,.853,130,260,16,5,0,7,9,*2/HD,MVP-18,2005,26,CLE,AL,147,622,24,-3,-2,0,9,29,2.9,23,53,5.2,.520,.518,5.2,1.0,53,"$372,100",*2/HD,MVP-18
2006,27,CLE,AL,153,652,572,82,181,37,0,16,93,0,0,71,78,.316,.391,.465,.856,122,266,27,3,0,6,8,*23/HD,,2006,27,CLE,AL,153,652,20,-3,-2,-17,7,5,0.5,24,29,2.9,.503,.503,4.5,-0.9,46,"$1,000,000",*23/HD,
2007,28,CLE,AL,147,645,562,78,169,40,0,25,114,0,0,62,76,.301,.374,.505,.879,129,284,19,10,0,11,12,*23/DH,"AS,MVP-7",2007,28,CLE,AL,147,645,20,-1,-2,-2,6,21,2.1,23,45,4.3,.514,.513,4.5,0.5,46,"$3,200,000",*23/DH,"AS,MVP-7"
2008,29,CLE,AL,73,294,266,30,74,17,0,2,35,0,0,24,32,.278,.337,.365,.701,88,97,12,1,0,3,4,23/DH,,2008,29,CLE,AL,73,294,-4,0,-2,-2,3,-6,-0.5,11,5,0.6,.492,.496,0.8,0.1,7,"$4,450,000",23/DH,
2009,30,TOT,AL,155,672,588,88,178,33,1,23,108,1,0,75,74,.303,.381,.480,.861,127,282,17,3,0,6,3,23/HD,"AS,MVP-21",2009,30,CLE,AL,99,435,12,0,0,-6,1,7,0.7,16,23,2.2,.507,.504,2.8,-0.5,29,"$5,900,000",23/DH,"AS,MVP-21"
2010,31,BOS,AL,127,538,493,64,149,32,1,20,79,1,0,40,52,.302,.351,.493,.844,122,243,17,0,0,5,5,*23/DH,AS,2009,30,BOS,AL,56,237,12,0,0,-8,1,5,0.5,9,14,1.3,.508,.503,2.1,-0.7,22,,23/H,"AS,MVP-21"
2011,32,DET,AL,145,595,540,76,178,40,0,12,103,1,0,46,51,.330,.380,.470,.850,131,254,20,2,0,7,6,*D2/3H,MVP-16,2010,31,BOS,AL,127,538,15,-1,-1,-4,6,15,1.6,20,35,3.6,.512,.509,4.0,0.3,39,"$7,700,000",*23/DH,AS
2013,34,DET,AL,159,668,605,68,182,36,0,14,83,0,2,54,62,.301,.355,.430,.785,113,260,23,1,0,8,10,*D3/H2,,2011,32,DET,AL,145,595,24,-3,-2,-1,-9,9,1.0,22,32,3.2,.507,.506,3.3,-1.0,33,"$12,000,000",*D2/3H,MVP-16
2014,35,DET,AL,151,641,561,87,188,33,0,32,103,3,2,70,42,.335,.409,.565,.974,172,317,17,4,0,6,28,*D3/2H,"AS,MVP-2,SS",2013,34,DET,AL,159,668,8,-4,-3,0,-13,-13,-1.1,24,11,1.2,.491,.492,1.0,-1.2,11,"$13,000,000",*D3/H2,
2015,36,DET,AL,120,485,440,39,108,20,0,11,64,0,0,31,52,.245,.301,.366,.667,84,161,18,7,0,7,8,D3/H,,2014,35,DET,AL,151,641,51,-5,-1,-4,-12,28,3.3,23,51,5.5,.520,.519,5.9,-1.7,55,"$12,000,000",*D3/2H,"AS,MVP-2,SS"
2016,37,DET,AL,154,610,553,65,160,22,0,27,86,0,0,50,90,.289,.351,.476,.826,121,263,19,4,0,3,8,*DH/3,,2015,36,DET,AL,120,485,-14,-3,-3,-3,-10,-33,-3.5,17,-16,-1.8,.470,.478,-1.5,-1.3,-13,"$14,000,000",D3/H,
2017,38,DET,AL,107,435,392,38,100,16,0,10,47,0,0,36,63,.255,.324,.372,.697,86,146,15,5,0,2,3,D/H,,2016,37,DET,AL,154,610,14,-5,-2,-1,-13,-7,-0.7,22,14,1.5,.495,.495,1.6,-1.4,15,"$18,000,000",*DH/3,
2018,39,DET,AL,133,508,467,32,117,21,0,9,54,0,0,32,49,.251,.297,.353,.651,76,165,19,2,0,7,4,*D/H3,,2017,38,DET,AL,107,435,-7,-2,-1,0,-10,-20,-2.0,16,-4,-0.5,.481,.487,-0.5,-0.9,-4,"$18,000,000",D/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,39,DET,AL,133,508,-15,-2,-2,0,-11,-31,-3.0,18,-13,-1.3,.476,.480,-1.4,-1.0,-13,"$18,000,000",*D/H3,
