Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2013,21,NYM,NL,27,101,95,8,20,5,0,1,13,0,0,5,23,.211,.248,.295,.542,54,28,1,0,0,1,0,5/4H,,2013,21,NYM,NL,27,101,-6,0,1,-3,1,-8,-0.9,3,-5,-0.6,.467,.494,-0.3,-0.3,-2,,5/4H,
2014,22,NYM,NL,78,274,259,28,65,13,1,6,29,1,0,12,31,.251,.286,.378,.664,90,98,6,1,1,1,2,64/H5,,2014,22,NYM,NL,78,274,-3,-2,1,-2,3,-3,-0.4,9,6,0.5,.496,.498,0.8,0.1,8,,64/H5,
2015,23,NYM,NL,137,510,483,55,127,22,0,16,59,0,1,19,63,.263,.295,.408,.703,93,197,12,4,2,2,2,64/H,,2015,23,NYM,NL,137,510,-3,0,0,-6,7,-3,-0.4,17,13,1.2,.497,.498,1.8,0.0,19,"$513,543",64/H,
2016,24,NYM,NL,103,335,307,38,82,14,0,16,49,1,1,23,48,.267,.319,.469,.788,111,144,9,2,0,3,0,534H/6,,2016,24,NYM,NL,103,335,9,-3,0,-9,0,-3,-0.4,11,8,0.6,.497,.498,1.6,-0.9,17,"$526,014",534H/6,
2017,25,NYM,NL,110,362,336,42,91,17,1,18,52,1,1,17,54,.271,.307,.488,.795,109,164,14,3,0,6,1,53H4/D,,2017,25,NYM,NL,110,362,3,0,-1,-9,0,-8,-0.9,12,4,0.3,.493,.495,1.2,-1.0,13,"$2,200,000",53H4/D,
2018,26,NYM,NL,126,429,386,43,103,25,0,11,51,0,0,29,42,.267,.319,.417,.736,105,161,8,5,0,9,1,3H45/D,,2018,26,NYM,NL,126,429,1,-2,1,0,-4,-4,-0.6,14,10,0.8,.497,.498,0.9,-0.6,10,"$3,400,000",3H45/D,
2019,27,ARI,NL,89,285,265,31,84,18,0,9,37,0,0,15,31,.317,.361,.487,.848,118,129,9,4,0,1,0,4H3,,2019,27,ARI,NL,89,285,7,-2,-1,-6,1,-1,-0.3,9,8,0.6,.498,.499,1.3,-0.6,14,"$3,750,000",4H3,
2020,28,SFG,NL,55,213,198,30,53,11,1,12,32,1,0,13,36,.268,.315,.515,.830,124,102,5,1,0,1,1,D34/H5,,2020,28,SFG,NL,55,213,5,-1,1,2,-2,5,0.6,7,13,1.3,.509,.503,1.0,0.0,11,"$3,000,000",D34/H5,
2021,29,SFG,NL,139,436,389,57,102,16,1,18,53,1,0,41,56,.262,.335,.447,.782,111,174,11,3,0,3,0,5H34/D,,2021,29,SFG,NL,139,436,8,-2,-2,-1,0,3,0.2,15,18,1.7,.502,.502,1.8,-0.2,19,"$3,000,000",5H34/D,
2022,30,SFG,NL,151,602,525,72,120,28,1,19,71,0,0,59,103,.229,.316,.394,.710,101,207,7,11,0,7,1,435DH,,2022,30,SFG,NL,151,602,1,-2,1,-9,-2,-11,-1.1,21,10,0.9,.492,.493,1.8,-1.1,19,"$3,500,000",435DH,
2023,31,SFG,NL,126,454,405,51,115,22,0,23,60,0,0,41,63,.284,.355,.509,.863,137,206,13,5,0,3,1,3DH5/4,,2023,31,SFG,NL,126,454,19,-3,-2,3,-6,12,1.2,16,27,2.6,.509,.507,2.4,-0.3,24,"$6,500,000",3DH5/4,
2024,32,SFG,NL,51,173,151,14,33,8,0,2,19,0,0,16,22,.219,.295,.311,.606,80,47,5,2,0,4,1,3H/D5,,2024,32,SFG,NL,51,173,-3,0,-1,5,-2,-1,-0.1,6,5,0.4,.497,.499,-0.1,0.3,0,"$6,500,000",3H/D5,
