Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2010,22,TOT,MLB,22,82,79,5,22,7,0,1,5,0,0,2,12,.278,.305,.405,.710,92,32,2,1,0,0,0,2,,2010,22,MIN,AL,7,28,0,0,0,0,0,0,0.0,1,1,0.1,.499,.500,0.1,0.1,1,,/2,
2011,23,WSN,NL,113,435,389,48,104,22,1,15,52,0,2,38,76,.267,.334,.445,.779,113,173,19,2,4,2,8,2/HD,RoY-4,2010,22,WSN,NL,15,54,-1,0,0,1,1,0,0.0,2,2,0.2,.501,.500,0.1,0.2,1,,2,
2012,24,WSN,NL,25,96,83,11,22,2,0,3,10,0,0,12,19,.265,.354,.398,.752,104,33,1,0,0,1,2,2/H,,2011,23,WSN,NL,113,435,6,-1,-2,-2,7,7,0.7,14,21,2.1,.507,.505,2.3,0.5,23,"$415,000",2/HD,RoY-4
2013,25,WSN,NL,78,303,287,29,78,9,0,16,59,0,1,15,42,.272,.307,.470,.777,110,135,12,0,0,1,1,2/H,,2012,24,WSN,NL,25,96,0,0,0,-2,2,0,0.0,3,3,0.3,.501,.500,0.5,0.0,5,"$491,250",2/H,
2014,26,WSN,NL,88,361,341,32,91,12,0,11,47,0,0,17,57,.267,.299,.399,.698,91,136,17,0,0,3,2,2/D,,2013,25,WSN,NL,78,303,6,-1,-1,6,5,15,1.6,10,24,2.5,.521,.510,1.9,1.2,18,"$501,250",2/H,
2015,27,WSN,NL,128,504,475,41,109,16,0,15,68,0,0,21,101,.229,.258,.358,.616,66,170,16,0,0,8,2,*2/HD,,2014,26,WSN,NL,88,361,-4,-1,-2,4,6,3,0.2,12,15,1.4,.504,.502,1.0,1.0,11,"$2,095,000",2/D,
2016,28,WSN,NL,131,523,482,58,148,25,0,22,80,0,0,35,79,.307,.354,.496,.850,121,239,17,2,0,4,2,*2/H,"AS,MVP-17,SS",2015,27,WSN,NL,128,504,-20,-1,-1,9,8,-5,-0.6,16,12,1.0,.496,.497,0.0,1.8,3,"$3,550,000",*2/HD,
2017,29,TBR,AL,64,224,208,19,54,6,0,11,35,0,0,10,36,.260,.290,.447,.737,97,93,11,0,0,3,2,2/HD,,2016,28,WSN,NL,131,523,15,-3,-1,-4,8,15,1.4,17,32,3.0,.512,.509,3.5,0.4,36,"$5,350,000",*2/H,"AS,MVP-17,SS"
2018,30,TOT,MLB,111,416,382,39,117,22,1,15,70,0,0,32,80,.306,.358,.487,.845,130,186,20,0,0,2,2,2H/D,AS,2017,29,TBR,AL,64,224,-2,-1,-2,-5,4,-7,-0.6,8,1,0.1,.490,.496,0.6,-0.1,6,"$4,000,000",2/HD,
2019,31,NYM,NL,141,524,473,52,136,19,0,14,73,1,0,44,69,.288,.351,.416,.768,106,197,16,4,0,3,5,*2H/D,,2018,30,TBR,AL,78,315,10,-2,-3,-4,4,5,0.7,11,17,1.7,.507,.503,2.1,0.2,21,"$8,500,000",2/DH,AS
2020,32,NYM,NL,45,155,142,13,34,6,0,5,15,0,0,10,31,.239,.297,.387,.684,87,55,5,2,0,1,0,*2/HD,,2018,30,PHI,NL,33,101,4,-1,0,0,1,5,0.5,3,8,0.8,.516,.503,0.8,0.1,8,,2H,AS
2021,33,TOT,AL,44,163,151,15,31,5,0,8,20,0,0,9,36,.205,.248,.397,.646,76,60,2,0,0,1,0,2D/H,,2019,31,NYM,NL,141,524,5,-3,-1,-2,8,7,0.4,17,24,2.1,.505,.504,2.5,0.4,26,"$7,250,000",*2H/D,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,32,NYM,NL,45,155,-3,-1,-1,0,3,-2,-0.2,5,3,0.3,.495,.499,0.3,0.3,3,"$10,250,000",*2/HD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,33,DET,AL,35,128,-5,-1,0,-4,1,-9,-0.8,4,-4,-0.4,.476,.495,0.0,-0.3,0,"$2,000,000",2D/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,33,CLE,AL,9,35,-1,0,0,-1,1,-1,-0.1,1,0,0.0,.487,.499,0.1,0.0,1,,/2,
