Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2001,22,SFG,NL,3,4,4,0,2,0,1,0,2,0,0,0,0,.500,.500,1.000,1.500,286,4,0,0,0,0,0,/2,,2001,22,SFG,NL,3,4,1,0,0,0,0,1,0.1,0,1,0.1,.534,.501,0.1,0.0,1,,/2,
2002,23,SFG,NL,53,155,136,17,38,10,0,2,14,0,0,14,20,.279,.355,.397,.752,103,54,11,2,3,0,2,2/H,,2002,23,SFG,NL,53,155,2,0,0,2,3,6,0.6,5,11,1.1,.512,.504,0.9,0.5,9,"$200,000",2/H,
2003,24,SFG,NL,66,221,200,22,52,10,2,4,29,1,0,14,39,.260,.312,.390,.702,83,78,3,2,3,2,1,2/7H,,2003,24,SFG,NL,66,221,-5,-1,1,0,4,-1,-0.1,7,6,0.6,.499,.500,0.6,0.3,6,"$312,000",2/7H,
2004,25,SFG,NL,64,196,172,19,39,7,3,6,23,2,0,17,31,.227,.302,.407,.709,81,70,7,2,4,1,3,2/H,,2004,25,SFG,NL,64,196,-6,-1,0,0,3,-4,-0.4,6,3,0.2,.494,.498,0.2,0.3,3,"$334,000",2/H,
2005,26,TOT,MLB,76,224,201,32,47,12,0,3,15,1,0,16,50,.234,.297,.338,.635,70,68,8,2,5,0,1,2/HD,,2005,26,SFG,NL,34,105,-3,1,0,1,2,1,0.1,3,4,0.4,.504,.501,0.3,0.3,3,"$715,000",2/HD,
2006,27,COL,NL,65,241,223,23,55,16,3,7,43,4,3,11,49,.247,.293,.439,.732,78,98,7,4,2,1,1,2/H,,2005,26,SEA,AL,42,119,-5,1,0,-1,2,-3,-0.3,4,1,0.1,.492,.498,0.2,0.2,2,,2/H,
2007,28,COL,NL,113,443,396,47,101,22,1,8,47,2,1,34,73,.255,.323,.376,.699,76,149,19,6,6,1,1,*2/H,,2006,27,COL,NL,65,241,-6,0,0,2,4,-1,-0.1,8,7,0.6,.499,.500,0.4,0.6,5,"$850,000",2/H,
2008,29,COL,NL,70,261,236,19,58,17,0,6,31,0,4,12,44,.246,.293,.394,.687,72,93,10,5,5,3,0,2/H,,2007,28,COL,NL,113,443,-16,-1,-2,8,7,-3,-0.4,14,11,0.9,.497,.498,0.2,1.4,3,"$1,075,000",*2/H,
2009,30,COL,NL,64,242,213,27,62,11,1,2,31,1,1,21,42,.291,.351,.380,.732,85,81,4,1,3,4,5,2/H,,2008,29,COL,NL,70,261,-8,-2,-2,-5,4,-12,-1.3,8,-4,-0.6,.482,.492,0.0,-0.1,1,"$3,000,000",2/H,
2010,31,SDP,NL,95,363,325,31,88,14,0,7,37,7,5,33,67,.271,.343,.378,.721,103,123,12,3,1,1,2,2/H,,2009,30,COL,NL,64,242,-4,-1,1,-2,4,-3,-0.3,8,5,0.4,.496,.498,0.7,0.2,7,"$3,750,000",2/H,
2011,32,TEX,AL,113,419,396,40,108,27,1,7,37,0,2,20,65,.273,.306,.399,.705,86,158,11,0,1,2,0,2D/H,,2010,31,SDP,NL,95,363,2,-2,0,8,6,15,1.5,11,26,2.6,.516,.510,1.7,1.4,18,"$750,000",2/H,
2012,33,TOT,MLB,64,218,194,19,44,8,0,4,14,1,1,17,40,.227,.293,.330,.623,66,64,2,2,3,2,0,2/H3,,2011,32,TEX,AL,113,419,-8,-2,0,-11,5,-16,-1.6,16,0,-0.1,.486,.490,1.1,-0.6,11,"$3,000,000",2D/H,
2013,34,COL,NL,61,196,179,10,43,8,0,0,16,0,0,13,24,.240,.295,.285,.580,52,51,6,1,3,0,2,2H/3,,2012,33,TEX,AL,49,182,-6,-2,1,-5,3,-10,-1.1,7,-3,-0.4,.479,.494,0.2,-0.2,2,"$3,250,000",2/H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,33,TOR,AL,10,30,-2,0,0,0,0,-1,-0.1,1,0,0.0,.491,.499,0.0,0.1,0,,/23H,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,33,MIL,NL,5,6,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.478,.499,-0.1,0.0,-1,,/H2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,34,COL,NL,61,196,-12,-1,0,1,3,-9,-1.1,6,-3,-0.5,.482,.493,-0.6,0.4,-4,"$1,000,000",2H/3,
