Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
2006,21,FLA,NL,14,5,5,1,1,0,0,0,1,0,0,0,2,.200,.200,.200,.400,6,1,0,0,0,0,0,1,,2006,21,FLA,NL,14,5,-1,0,0,0,1,0,0.0,0,0,0.0,.501,.500,0.0,0.0,0,,1,
2007,22,ARI,NL,14,18,16,2,1,0,0,0,0,0,0,0,8,.063,.063,.063,.125,-68,1,1,0,2,0,0,1,,2007,22,ARI,NL,14,18,-5,0,0,0,3,-2,-0.2,0,-2,-0.2,.486,.499,-0.2,0.0,-2,,1,
2008,23,ARI,NL,19,15,13,0,0,0,0,0,0,0,0,0,7,.000,.000,.000,.000,-100,0,0,0,2,0,0,1,,2008,23,ARI,NL,19,15,-4,0,0,0,2,-2,-0.2,0,-2,-0.2,.489,.499,-0.2,0.0,-2,"$394,000",1,
2009,24,ARI,NL,23,28,27,0,1,0,0,0,0,0,0,1,8,.037,.071,.037,.108,-71,1,0,0,0,0,0,1,,2009,24,ARI,NL,23,28,-6,0,0,0,4,-2,-0.2,0,-2,-0.2,.492,.499,-0.2,0.0,-2,"$411,500",1,
2012,27,SFG,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1,,2012,27,SFG,NL,1,1,0,0,0,0,0,0,0.0,0,0,0.0,.488,.500,0.0,0.0,0,,/1,
2013,28,SFG,NL,7,17,16,0,1,0,0,0,2,0,0,1,5,.063,.118,.063,.180,-46,1,1,0,0,0,0,/1,,2013,28,SFG,NL,7,17,-3,0,0,0,2,-1,-0.1,0,-1,-0.1,.488,.499,-0.1,0.0,-1,,/1,
2014,29,SFG,NL,36,27,25,2,1,0,0,0,0,0,0,1,13,.040,.077,.040,.117,-65,1,0,0,1,0,0,1,,2014,29,SFG,NL,36,27,-5,0,0,0,4,-2,-0.2,0,-2,-0.2,.494,.499,-0.2,0.0,-2,"$845,000",1,
2015,30,SFG,NL,40,10,9,1,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,,2015,30,SFG,NL,40,10,-3,0,0,0,1,-1,-0.1,0,-1,-0.1,.497,.499,-0.1,0.0,-1,"$2,100,000",1,
2016,31,WSN,NL,33,7,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-11,1,0,0,1,0,0,1,,2016,31,WSN,NL,33,7,-1,0,0,0,1,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,500,000",1,
2017,32,LAA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2017,32,LAA,AL,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,250,000",1,
2018,33,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2018,33,OAK,AL,4,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$3,500,000",1,
2019,34,OAK,AL,6,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,1,,2019,34,OAK,AL,6,1,0,0,0,0,0,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,"$5,500,000",1,
2021,36,OAK,AL,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,,2021,36,OAK,AL,6,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,"$2,550,000",1,
