Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards,Year,Age,Tm,Lg,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Pos,Awards
1984,22,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/6,,1984,22,MIN,AL,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.522,.500,0.0,0.0,0,,/6,
1985,23,MIN,AL,32,62,57,5,15,2,0,0,9,0,1,1,9,.263,.288,.298,.586,58,17,2,1,3,0,0,6/H,,1985,23,MIN,AL,32,62,-4,0,0,1,1,-2,-0.2,2,0,0.0,.493,.499,-0.1,0.2,-1,,6/H,
1986,24,MIN,AL,37,45,42,4,9,1,0,0,1,0,1,1,10,.214,.233,.238,.471,28,10,0,0,2,0,0,46/H,,1986,24,MIN,AL,37,45,-5,0,0,-2,1,-5,-0.5,2,-3,-0.3,.487,.497,-0.2,0.0,-2,"$60,000",46/H,
1988,26,NYY,AL,3,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,/46,,1988,26,NYY,AL,3,3,-1,0,0,-1,0,-2,-0.2,0,-1,-0.2,.448,.499,-0.1,-0.1,-1,,/46,
1989,27,NYY,AL,146,544,503,51,142,23,1,0,41,3,3,14,60,.282,.301,.332,.633,80,167,14,1,23,3,1,*6,,1989,27,NYY,AL,146,544,-16,3,0,0,9,-5,-0.4,19,15,1.5,.497,.497,1.5,1.0,15,"$68,000",*6,
1990,28,NYY,AL,150,472,438,31,98,12,2,2,20,1,2,16,54,.224,.258,.274,.532,50,120,13,5,11,2,0,*6,,1990,28,NYY,AL,150,472,-31,0,1,10,9,-11,-1.2,17,6,0.4,.492,.493,-0.5,1.9,-4,"$256,000",*6,
1991,29,NYY,AL,148,509,480,51,123,23,2,5,33,4,1,16,57,.256,.282,.344,.626,73,165,10,2,9,2,0,*6/5H1,,1991,29,NYY,AL,148,509,-18,0,1,6,9,-1,0.0,18,17,1.7,.499,.499,1.1,1.6,11,"$650,000",*6/5H1,
1993,31,CLE,AL,129,283,263,34,73,15,0,4,27,2,2,8,36,.278,.298,.380,.678,82,100,7,1,8,3,0,56/H4,,1993,31,CLE,AL,129,283,-8,0,-1,4,3,-2,-0.2,11,9,0.8,.498,.499,0.5,0.6,5,"$500,000",56/H4,
1994,32,CLE,AL,90,244,231,27,55,13,0,1,19,1,3,6,33,.238,.258,.307,.566,47,71,7,1,4,2,0,564/3H,,1994,32,CLE,AL,90,244,-19,-1,-1,10,3,-9,-0.9,9,0,0.0,.490,.495,-0.9,1.2,-10,"$475,000",564/3H,
1995,33,CLE,AL,66,150,143,15,36,4,0,2,17,0,2,2,16,.252,.264,.322,.585,51,46,3,1,2,2,0,456/HD3,,1995,33,CLE,AL,66,150,-9,-1,0,1,2,-8,-0.8,6,-3,-0.3,.488,.495,-0.3,0.2,-3,"$450,000",456/HD3,
1996,34,TOT,MLB,107,269,246,31,66,11,4,8,27,1,3,10,37,.268,.303,.443,.746,93,109,8,3,8,2,0,563/H4D,,1996,34,CLE,AL,59,125,-7,0,-1,3,0,-5,-0.4,5,0,0.0,.492,.497,-0.3,0.4,-3,"$400,000",536/4HD,
1997,35,SEA,AL,33,78,72,3,13,1,0,0,7,1,1,2,12,.181,.213,.194,.408,9,14,2,1,3,0,0,64/H5,,1996,34,NYM,NL,48,144,4,0,0,0,1,5,0.4,4,9,0.8,.510,.503,0.9,0.0,10,,5/6H43,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,35,SEA,AL,33,78,-10,-1,0,1,1,-9,-0.9,3,-6,-0.6,.474,.495,-0.6,0.2,-6,,64/H5,
