Name,Yrs,From,To,ASG,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WAR,Birthdate,Debut,Birthplace
Ehire Adrianza,12,2013,2024,0,0,0,,12.00,3,0,3,0,0,0,3.0,6,4,4,1,1,0,2,1,0,0,17,-0.08,"Aug 21, 1989","Sep 8, 2013","Guarenas, Miranda"
José Alvarado,8,2017,2024,0,14,22,.389,3.27,343,1,87,0,0,43,308.0,232,134,112,18,170,19,403,11,1,34,1322,4.31,"May 21, 1995","May 3, 2017","Maracaibo, Zulia"
Henderson Alvarez III,6,2011,2017,1,27,35,.435,3.82,95,95,0,5,5,0,577.2,610,268,245,56,140,8,302,22,4,16,2425,7.84,"Apr 18, 1990","Aug 10, 2011","Valencia, Carabobo"
José Álvarez,10,2013,2022,0,22,25,.468,3.47,447,8,78,0,0,4,420.2,416,186,162,39,137,22,360,13,1,10,1802,4.52,"May 6, 1989","Jun 9, 2013","Barcelona, Anzoategui"
Wilson Álvarez,14,1989,2005,1,102,92,.526,3.96,355,263,18,12,5,4,1747.2,1624,857,769,190,805,29,1330,50,4,28,7518,24.99,"Mar 24, 1970","Jul 24, 1989","Maracaibo, Zulia"
Adbert Alzolay,6,2019,2024,0,12,25,.324,4.04,121,27,52,0,0,27,254.0,217,125,114,42,77,2,269,14,5,3,1046,2.74,"Mar 1, 1995","Jun 20, 2019","San Felix, Bolivar"
Alexi Amarista,7,2011,2017,0,0,0,,0.00,2,0,2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.02,"Apr 6, 1989","Apr 26, 2011","Barcelona, Anzoategui"
Luis Aponte,5,1980,1984,0,9,6,.600,3.27,110,0,66,0,0,7,220.0,222,86,80,17,68,7,113,3,3,5,928,4.36,"Jun 14, 1953","Sep 4, 1980","El Tigre, Anzoategui"
Elvis Araújo,2,2015,2016,0,4,2,.667,4.35,72,0,14,0,0,0,62.0,64,39,30,5,36,3,63,2,1,2,285,-0.45,"Jul 15, 1991","May 5, 2015","Maracaibo, Zulia"
Francisco Arcia,1,2018,2018,0,0,0,,9.00,2,0,2,0,0,0,3.0,5,3,3,2,0,0,0,0,0,0,13,-0.05,"Sep 14, 1989","Jul 26, 2018","Maiquetia, La Guaira"
Orlando Arcia,9,2016,2024,1,0,0,,12.00,3,0,3,0,0,0,3.0,4,4,4,1,2,0,0,0,0,0,15,-0.09,"Aug 4, 1994","Aug 2, 2016","Anaco, Anzoategui"
Tony Armas,10,1999,2008,0,53,65,.449,4.65,185,167,7,0,0,0,925.2,891,519,478,122,431,41,680,51,6,43,4055,8.31,"Apr 29, 1978","Aug 16, 1999","Puerto Piritu, Anzoategui"
Humberto Arteaga,2,2019,2021,0,0,0,,5.40,1,0,1,0,0,0,1.2,2,1,1,1,1,0,0,0,0,0,8,0.01,"Jan 23, 1994","Jun 20, 2019","Caracas, Distrito Federal"
José Ascanio,4,2007,2011,0,1,3,.250,5.28,43,0,16,0,0,0,46.0,57,29,27,7,21,5,41,4,0,1,221,-0.19,"May 2, 1985","Jul 13, 2007","Maracay, Aragua"
Willians Astudillo,5,2018,2022,0,0,0,,7.71,7,0,7,0,0,0,7.0,6,6,6,3,4,0,0,0,0,0,31,-0.01,"Oct 14, 1991","Jun 30, 2018","Barcelona, Anzoategui"
Pedro Avila,5,2019,2024,0,3,4,.429,3.72,33,8,15,0,0,0,92.0,79,47,38,9,40,0,100,9,1,11,401,0.49,"Jan 14, 1997","Apr 11, 2019","Caracas, Distrito Federal"
Luis Avilán,10,2012,2021,0,23,11,.676,3.43,458,0,57,0,0,2,354.0,309,142,135,23,140,22,319,18,3,19,1491,4.43,"Jul 19, 1989","Jul 14, 2012","Caracas, Distrito Federal"
Eduard Bazardo,4,2021,2024,0,2,0,1.000,3.77,31,0,12,0,0,0,43.0,32,18,18,7,14,0,35,2,0,3,173,0.53,"Sep 1, 1995","Apr 14, 2021","Maracay, Aragua"
Yorman Bazardo,4,2005,2009,0,3,4,.429,6.86,25,8,12,0,0,0,60.1,68,51,46,4,34,1,37,4,1,2,282,-1.11,"Jul 11, 1984","May 26, 2005","Maracay, Aragua"
Ronald Belisario,6,2009,2015,0,24,20,.545,3.85,341,0,73,0,0,12,339.1,309,161,145,20,127,33,273,23,1,17,1446,0.86,"Dec 31, 1982","Apr 7, 2009","Maracay, Aragua"
Rafael Betancourt,12,2003,2015,0,38,37,.507,3.36,680,0,241,0,0,75,685.2,596,274,256,71,164,40,724,1,4,17,2787,14.11,"Apr 29, 1975","Jul 13, 2003","Cumana, Sucre"
Andrés Blanco,10,2004,2017,0,0,0,,27.00,1,0,1,0,0,0,0.1,1,1,1,1,0,0,0,0,0,0,2,-0.04,"Apr 11, 1984","Apr 17, 2004","Urama, Carabobo"
Wilfredo Boscán,1,2016,2016,0,1,1,.500,6.46,6,1,2,0,0,0,15.1,15,11,11,2,7,0,8,0,1,1,67,-0.16,"Oct 26, 1989","May 19, 2016","Maracaibo, Zulia"
Silvino Bracho,7,2015,2023,0,2,2,.500,4.80,100,0,35,0,0,1,101.1,93,58,54,19,40,4,104,8,0,7,439,0.16,"Jul 17, 1992","Aug 30, 2015","Maracaibo, Zulia"
José Buttó,3,2022,2024,0,2,7,.222,3.96,17,15,0,0,0,0,84.0,64,37,37,8,46,0,81,4,0,1,358,1.44,"Mar 19, 1998","Aug 21, 2022","Cumana, Sucre"
Asdrúbal Cabrera,15,2007,2021,2,0,0,,0.00,2,0,1,0,0,0,1.1,1,0,0,0,0,0,0,0,0,0,4,0.04,"Nov 13, 1985","Aug 8, 2007","Puerto La Cruz, Anzoategui"
Leonel Campos,4,2014,2017,0,1,0,1.000,4.74,38,0,17,0,0,0,43.2,39,28,23,5,27,2,49,2,0,4,196,-0.17,"Jul 17, 1987","Sep 3, 2014","Valera, Trujillo"
Vicente Campos,1,2016,2016,0,0,0,,3.18,1,0,0,0,0,0,5.2,4,3,2,2,2,0,4,0,0,0,24,0.10,"Jul 27, 1992","Aug 27, 2016","La Guaira, La Guaira"
Giovanni Carrara,10,1995,2006,0,29,18,.617,4.69,313,18,72,1,0,4,472.1,487,260,246,74,202,22,338,21,0,9,2079,1.81,"Mar 4, 1968","Jul 29, 1995","El Tigre, Anzoategui"
Carlos Carrasco,15,2009,2024,0,109,98,.527,4.09,313,266,21,11,4,2,1587.1,1555,761,722,200,437,21,1612,54,3,59,6632,19.72,"Mar 21, 1987","Sep 1, 2009","Barquisimeto, Lara"
Alex Carrasquel,8,1939,1949,0,50,39,.562,3.73,258,64,126,30,4,16,861.0,887,426,357,42,347,16,252,6,3,13,3761,6.06,"Jul 24, 1912","Apr 23, 1939","Caracas, Distrito Federal"
Amalio Carreño,1,1991,1991,0,0,0,,16.20,3,0,1,0,0,0,3.1,5,6,6,1,3,0,2,2,0,0,20,-0.33,"Apr 11, 1964","Jul 7, 1991","Chacachacare, Nueva Esparta"
Marcos Carvajal,2,2005,2007,0,0,2,.000,5.21,42,0,14,0,0,0,57.0,60,34,33,8,23,0,49,3,0,4,253,0.21,"Aug 19, 1984","Apr 6, 2005","Ciudad Bolivar, Bolivar"
Diego Castillo,2,2022,2023,0,0,0,,36.00,2,0,2,0,0,0,2.0,6,8,8,1,3,0,1,1,0,0,15,-0.26,"Oct 28, 1997","Apr 7, 2022","Barquisimeto, Lara"
José Castillo,4,2018,2023,0,3,3,.500,4.24,40,0,5,0,0,0,40.1,26,19,19,3,16,1,55,5,0,2,165,0.44,"Jan 10, 1996","Jun 2, 2018","Valencia, Carabobo"
Juan Castillo,1,1994,1994,0,0,0,,6.94,2,2,0,0,0,0,11.2,17,9,9,2,5,0,1,0,0,0,54,-0.17,"Jun 23, 1970","Jul 26, 1994","Caracas, Distrito Federal"
Max Castillo,2,2022,2023,0,0,3,.000,5.43,21,6,6,0,0,0,59.2,58,38,36,10,24,1,47,5,0,2,259,-0.37,"May 4, 1999","Jun 19, 2022","Caracas, Distrito Federal"
Tony Castillo,10,1988,1998,0,28,23,.549,3.93,403,6,114,0,0,22,526.2,555,267,230,52,179,26,333,14,2,9,2276,6.37,"Mar 1, 1963","Aug 14, 1988","Quibor, Lara"
Anthony Castro,3,2020,2022,0,1,2,.333,6.00,38,0,10,0,0,1,39.0,43,32,26,10,19,2,45,3,0,5,179,-0.69,"Apr 13, 1995","Jul 27, 2020","Caracas, Distrito Federal"
Harold Castro,6,2018,2023,0,0,0,,4.15,9,0,8,0,0,0,8.2,10,4,4,0,5,0,1,2,0,0,40,0.09,"Nov 30, 1993","Sep 23, 2018","Caracas, Distrito Federal"
Kervin Castro,2,2021,2022,0,1,2,.333,4.91,20,0,10,0,0,0,25.2,28,15,14,3,11,1,24,0,0,0,113,0.37,"Feb 7, 1999","Sep 7, 2021","Maracay, Aragua"
Alejandro Chacín,1,2017,2017,0,0,0,,10.50,6,0,3,0,0,0,6.0,11,7,7,2,4,0,6,0,0,0,32,-0.19,"Jun 24, 1993","Aug 23, 2017","Maracay, Aragua"
Gustavo Chacín,5,2004,2010,0,27,17,.614,4.23,102,58,12,0,0,1,370.0,391,187,174,48,138,9,216,17,0,5,1612,4.02,"Dec 4, 1980","Sep 20, 2004","Maracaibo, Zulia"
Jhoulys Chacín,14,2009,2022,0,85,91,.483,4.18,338,227,20,3,1,0,1435.2,1335,722,666,156,586,23,1151,56,3,52,6146,18.25,"Jan 7, 1988","Jul 25, 2009","Maracaibo, Zulia"
Néstor Chávez,1,1967,1967,0,1,0,1.000,0.00,2,0,0,0,0,0,5.0,4,2,0,0,3,1,3,0,0,0,22,0.03,"Jul 6, 1947","Sep 9, 1967","Chacao, Miranda"
Yonny Chirinos,5,2018,2023,0,20,15,.571,4.03,69,38,3,0,0,0,326.1,308,158,146,47,85,3,258,16,3,13,1349,3.55,"Dec 26, 1993","Apr 1, 2018","Bachaquero, Zulia"
Edwar Colina,1,2020,2020,0,0,0,,81.00,1,0,0,0,0,0,0.1,4,3,3,1,2,0,0,0,0,0,7,-0.15,"May 3, 1997","Sep 25, 2020","Caracas, Distrito Federal"
Dave Concepción,19,1970,1988,9,0,0,,0.00,1,0,1,0,0,0,1.1,2,0,0,0,0,0,1,0,0,0,6,0.04,"Jun 17, 1948","Apr 6, 1970","Ocumare de la Costa, Aragua"
Darwin Cubillán,3,2000,2004,0,1,0,1.000,6.85,56,0,17,0,0,0,69.2,96,56,53,13,44,1,54,1,0,3,343,-0.50,"Nov 15, 1972","May 20, 2000","Bobures, Zulia"
William Cuevas,3,2016,2018,0,0,3,.000,8.06,13,1,5,0,0,0,22.1,28,20,20,3,17,0,24,5,0,2,113,-0.41,"Oct 14, 1990","Apr 21, 2016","Caracas, Distrito Federal"
Omar Daal,11,1993,2003,0,68,78,.466,4.55,392,164,41,5,2,1,1198.2,1250,651,606,140,441,37,806,34,13,10,5183,7.42,"Mar 1, 1972","Apr 23, 1993","Maracaibo, Zulia"
Vic Davalillo,16,1963,1980,1,0,0,,inf,2,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0,0,4,0.00,"Jul 30, 1939","Apr 9, 1963","Cabimas, Zulia"
Enmanuel De Jesus,1,2023,2023,0,0,0,,11.37,2,0,2,0,0,0,6.1,9,8,8,0,4,0,5,3,0,0,34,-0.18,"Dec 10, 1996","Sep 9, 2023","Valencia, Carabobo"
Jesús Delgado,1,2008,2008,0,0,0,,4.50,2,0,1,0,0,0,2.0,1,1,1,0,3,0,0,0,0,1,10,0.01,"Apr 19, 1984","Sep 17, 2008","Maracay, Aragua"
Jairo Díaz,5,2014,2020,0,7,7,.500,4.86,110,0,42,0,0,9,107.1,119,69,58,13,47,1,108,6,0,6,483,0.25,"May 27, 1991","Sep 8, 2014","Puerto La Cruz, Anzoategui"
Jhonathan Díaz,3,2021,2023,0,2,1,.667,4.84,11,6,4,0,0,0,35.1,37,22,19,2,24,0,24,3,0,0,167,0.20,"Sep 13, 1996","Sep 17, 2021","Valencia, Carabobo"
Félix Doubront,6,2010,2015,0,31,26,.544,4.89,118,85,10,0,0,4,513.2,540,306,279,63,219,1,442,14,1,24,2266,-1.12,"Oct 23, 1987","Jun 18, 2010","Puerto Cabello, Carabobo"
Edgmer Escalona,4,2010,2013,0,1,5,.167,4.50,78,0,20,0,0,0,100.0,96,54,50,16,32,7,71,3,3,5,427,0.57,"Oct 6, 1986","Sep 10, 2010","La Guaira, La Guaira"
Sergio Escalona,2,2009,2011,0,3,1,.750,3.48,63,0,9,0,0,0,41.1,36,17,16,3,16,2,35,5,0,3,175,0.50,"Aug 3, 1984","May 17, 2009","El Tocuyo, Lara"
Alcides Escobar,13,2008,2022,1,0,0,,10.80,2,0,2,0,0,0,1.2,3,2,2,0,1,0,0,1,0,0,10,-0.04,"Dec 16, 1986","Sep 3, 2008","La Sabana, La Guaira"
Eduardo Escobar,13,2011,2023,1,0,0,,1.93,4,0,4,0,0,0,4.2,3,2,1,0,1,0,0,1,0,0,20,0.07,"Jan 5, 1989","Sep 2, 2011","La Pica, Maracay"
Edwin Escobar,2,2014,2016,0,1,2,.333,7.01,27,2,5,0,0,0,25.2,34,22,20,4,12,3,19,5,0,0,124,-0.67,"Apr 22, 1992","Aug 27, 2014","La Boyera, Miranda"
Kelvim Escobar,12,1997,2009,0,101,91,.526,4.15,411,202,132,10,4,59,1507.0,1461,755,695,137,611,28,1310,47,1,54,6483,24.63,"Apr 11, 1976","Jun 29, 1997","La Guaira, La Guaira"
Álvaro Espinoza,12,1984,1997,0,0,0,,0.00,1,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,2,0.02,"Feb 19, 1962","Sep 14, 1984","Valencia, Carabobo"
Anderson Espinoza,1,2022,2022,0,0,2,.000,5.40,7,0,2,0,0,0,18.1,14,11,11,4,16,0,19,4,1,1,85,-0.01,"Mar 9, 1998","May 30, 2022","Caracas, Distrito Federal"
Horacio Estrada,3,1999,2001,0,4,1,.800,7.50,15,4,6,0,0,0,36.0,48,31,30,10,25,4,22,3,0,3,181,-0.61,"Oct 19, 1975","May 4, 1999","San Joaquin, Carabobo"
Wilmer Font,6,2012,2020,0,7,11,.389,5.82,96,22,23,0,0,0,151.2,160,99,98,33,64,3,150,5,1,5,672,-0.13,"May 24, 1990","Sep 18, 2012","La Guaira, La Guaira"
